 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-062,1994,29.0,5,0,0,30,42,12,30,10,16,1,0,0,107,145,118,55.1,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-283,1995,23.4,4,0,0,21,17,0,0,33,27,1,1,0,225,51,35,59.3,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-047,1993,6.4,3,1,1,8,2,0,12,6,9,0,0,0,60,12,5,70.6,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-113,2001,1.6,0,0,0,6,5,0,1,1,0,0,0,0,7,4,6,40.0,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-069,1995,5.9,4,0,0,4,5,0,0,3,2,0,0,0,62,27,10,73.0,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-129,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,37,8,8,50.0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-199,1992,9.5,8,0,0,28,10,0,1,15,27,0,0,0,77,6,6,50.0,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-009,1995,11.4,1,0,0,14,13,0,6,9,11,0,0,0,95,17,18,48.6,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-308,1992,27.3,3,0,0,18,10,0,22,34,28,0,0,0,296,23,24,48.9,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-273,1998,16.2,4,0,0,25,26,1,15,33,33,1,1,0,127,10,15,40.0,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-215,2001,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-202,1992,13.8,2,0,0,18,17,12,0,3,6,0,0,0,50,34,76,30.9,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-038,1989,28.1,8,0,0,19,14,10,90,36,21,0,0,1,249,4,12,25.0,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-212,1992,24.4,4,0,0,18,32,2,28,18,31,0,0,0,225,7,11,38.9,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-236,1985,30.6,7,0,0,11,16,1,3,22,16,0,1,0,279,54,44,55.1,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-161,1989,15.5,2,0,0,8,20,4,60,21,25,0,0,0,148,12,28,30.0,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-241,1993,15.4,0,0,0,7,7,16,5,6,4,0,0,0,39,9,40,18.4,Matches
