,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1334,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,es La Liga,19-328,2001,3.3,5,3,2,1,2,2,4,50.0,2,49,17,34.7,13,20,16,1,0,0,1,2,7,1,0,Matches
1335,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,es La Liga,19-328,2001,7.3,8,5,1,5,2,1,13,7.7,12,154,42,27.3,24,71,59,20,0,0,20,10,18,6,0,Matches
1336,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,it Serie A,34-061,1987,24.1,56,39,24,25,7,12,52,23.1,40,455,136,29.9,133,233,89,32,4,0,28,25,81,27,0,Matches
1337,Kuki\Kuki,es ESP,MF,Valladolid,es La Liga,22-358,1998,0.3,1,1,0,0,1,0,0,,0,10,2,20.0,0,9,1,1,0,0,1,0,1,0,0,Matches
1338,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Juventus,it Serie A,21-003,2000,18.1,26,20,7,10,9,11,29,37.9,18,349,101,28.9,86,145,118,23,0,0,23,9,35,1,0,Matches
1339,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Roma,it Serie A,21-079,2000,10.9,7,6,3,3,1,0,5,0.0,5,130,44,33.8,62,62,6,12,5,0,7,11,18,36,0,Matches
1340,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,25-276,1995,5.7,12,6,3,8,1,1,8,12.5,7,77,21,27.3,21,44,12,6,1,0,5,7,19,12,0,Matches
1341,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,de Bundesliga,22-318,1998,13.9,41,26,20,19,2,12,41,29.3,29,296,69,23.3,107,159,30,33,2,0,31,15,56,31,0,Matches
1342,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,Parma,it Serie A,32-108,1989,26.8,50,30,22,25,3,11,50,22.0,39,450,130,28.9,159,232,59,26,2,0,24,28,78,48,0,Matches
1343,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,28-236,1992,13.6,31,15,14,12,5,10,27,37.0,17,155,56,36.1,50,64,41,24,4,0,20,23,54,30,2,Matches
1344,Dereck Kutesa\Dereck-Kutesa,ch SUI,MFFW,Reims,fr Ligue 1,23-143,1997,6.6,13,7,6,2,5,3,14,21.4,11,111,20,18.0,40,38,33,14,1,0,13,4,17,1,0,Matches
1345,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,21-058,2000,1.2,1,0,0,0,1,1,1,100.0,0,29,7,24.1,4,11,14,1,0,0,1,0,1,0,0,Matches
1346,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24-019,1997,7.5,13,7,10,2,1,9,14,64.3,5,70,18,25.7,37,20,13,18,2,0,16,12,25,23,0,Matches
1347,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,it Serie A,25-053,1996,3.8,3,3,0,1,2,0,0,,0,75,21,28.0,2,19,54,2,1,0,1,4,7,6,0,Matches
1348,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,26-360,1994,32.6,44,30,21,14,9,16,68,23.5,52,462,111,24.0,92,199,171,37,3,0,34,14,58,27,0,Matches
1349,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,29-335,1991,20.8,24,18,6,12,6,4,16,25.0,12,319,104,32.6,39,132,148,17,2,0,15,14,38,11,0,Matches
1350,Tom Lacoux\Tom-Lacoux,fr FRA,MF,Bordeaux,fr Ligue 1,19-093,2002,2.8,12,8,7,5,0,3,17,17.6,14,86,28,32.6,33,49,4,8,1,0,7,6,18,6,0,Matches
1351,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21-022,2000,25.8,58,33,43,15,0,18,44,40.9,26,305,113,37.0,178,123,4,59,22,1,37,59,117,149,0,Matches
1352,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-095,1999,34.0,0,0,0,0,0,0,0,,0,7,2,28.6,7,0,0,1,0,0,1,0,0,3,1,Matches
1353,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,31-174,1989,25.2,21,15,16,4,1,12,32,37.5,20,164,63,38.4,100,58,6,41,15,1,26,20,41,159,1,Matches
1354,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28-244,1992,27.8,56,35,25,21,10,25,62,40.3,37,375,122,32.5,134,166,75,73,8,0,65,34,90,83,2,Matches
1355,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,es La Liga,20-323,2000,7.9,8,5,5,3,0,3,10,30.0,7,111,31,27.9,31,54,26,16,0,0,16,13,21,6,0,Matches
1356,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,29-207,1991,20.4,24,15,14,8,2,8,21,38.1,13,211,66,31.3,79,96,36,27,8,2,19,13,37,39,2,Matches
1357,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,eng Premier League,32-353,1988,16.5,29,24,14,11,4,8,46,17.4,38,304,97,31.9,99,138,67,25,3,0,22,16,45,13,0,Matches
1358,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,eng Premier League,29-055,1992,7.6,18,11,1,13,4,4,10,40.0,6,172,44,25.6,31,93,48,8,1,0,7,4,22,1,0,Matches
1359,Sam Lammers\Sam-Lammers,nl NED,FWMF,Atalanta,it Serie A,23-363,1997,2.8,3,3,0,2,1,0,5,0.0,5,38,11,28.9,2,15,21,1,1,0,0,0,3,3,0,Matches
1360,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,20-210,2000,9.8,17,10,9,6,2,7,14,50.0,7,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0,Matches
1361,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,28-358,1992,14.1,13,12,9,4,0,10,21,47.6,11,86,32,37.2,54,32,0,30,17,0,13,16,29,67,0,Matches
1362,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-112,1985,2.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1363,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28-072,1993,4.8,5,5,1,3,1,1,9,11.1,8,86,30,34.9,23,40,23,13,0,0,13,5,10,3,0,Matches
1364,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Benevento,it Serie A,31-080,1990,24.3,24,17,2,12,10,6,23,26.1,17,298,67,22.5,24,143,131,15,6,0,9,7,31,12,0,Matches
1365,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,26-336,1994,12.9,11,5,8,3,0,2,8,25.0,6,69,22,31.9,41,23,5,16,7,0,9,8,19,48,0,Matches
1366,Julien Laporte\Julien-Laporte,fr FRA,DF,Lorient,fr Ligue 1,27-175,1993,27.0,63,39,44,17,2,32,67,47.8,35,284,103,36.3,202,76,6,43,26,0,17,42,105,208,2,Matches
1367,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,36-353,1984,31.8,41,21,26,15,0,8,28,28.6,20,303,101,33.3,182,114,7,77,34,1,43,41,82,167,4,Matches
1368,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,24-064,1997,31.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,1,1,5,2,Matches
1369,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,28-261,1992,12.3,6,3,1,3,2,1,11,9.1,10,183,41,22.4,23,75,85,10,1,0,9,7,13,7,0,Matches
1370,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Hellas Verona,it Serie A,28-261,1992,12.3,4,0,0,4,0,1,3,33.3,2,163,41,25.2,8,50,105,8,1,0,7,4,8,9,0,Matches
1371,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27-168,1993,18.1,19,12,11,6,2,4,6,66.7,2,150,52,34.7,89,53,8,39,18,2,21,15,34,108,1,Matches
1372,Paul Lasne\Paul-Lasne,fr FRA,MF,Brest,fr Ligue 1,32-102,1989,18.7,55,36,34,19,2,12,36,33.3,24,425,112,26.4,215,169,41,33,7,0,26,34,89,25,0,Matches
1373,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,23-158,1997,5.5,6,4,3,1,2,5,11,45.5,6,89,30,33.7,41,29,19,18,1,0,17,5,11,10,0,Matches
1374,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,31-142,1989,18.3,44,30,17,17,10,19,65,29.2,46,424,133,31.4,127,219,78,47,7,0,40,25,69,27,0,Matches
1375,Armand Lauriente\Armand-Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22-145,1998,17.3,22,16,8,14,0,6,21,28.6,15,255,74,29.0,46,127,82,16,0,0,16,14,36,4,0,Matches
1376,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,31-322,1989,6.9,10,8,7,2,1,3,5,60.0,2,86,24,27.9,44,31,11,12,3,0,9,12,22,12,0,Matches
1377,Lauti\Lauti,uy URU,MFFW,Celta Vigo,es La Liga,20-078,2001,0.2,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,1,0,Matches
1378,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,33-246,1987,16.9,38,26,20,16,2,11,43,25.6,32,284,88,31.0,126,145,13,23,8,0,15,27,65,51,0,Matches
1379,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,25-035,1996,12.2,13,7,6,5,2,7,18,38.9,11,178,44,24.7,50,76,52,25,0,0,25,15,28,15,0,Matches
1380,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,30-225,1990,22.8,23,17,7,13,3,10,32,31.3,22,171,54,31.6,48,73,50,30,7,0,23,18,41,31,0,Matches
1381,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,27-150,1993,23.4,22,10,9,9,4,12,37,32.4,25,207,48,23.2,68,88,51,35,4,0,31,22,44,27,0,Matches
1382,Jérémy Le Douaron\Jeremy-Le-Douaron,fr FRA,FWMF,Brest,fr Ligue 1,23-007,1998,8.6,14,6,8,5,1,5,18,27.8,13,158,38,24.1,52,67,39,16,1,0,15,6,20,12,0,Matches
1383,Enzo Le Fée\Enzo-Le-Fee,fr FRA,MFFW,Lorient,fr Ligue 1,21-084,2000,16.6,43,28,16,22,5,17,64,26.6,47,415,104,25.1,128,219,68,37,7,0,30,22,65,10,0,Matches
1384,Vincent Le Goff\Vincent-Le-Goff,fr FRA,DF,Lorient,fr Ligue 1,31-195,1989,21.6,44,20,23,19,2,18,45,40.0,27,282,98,34.8,127,127,28,41,3,1,38,32,76,52,0,Matches
1385,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,eng Premier League,31-199,1989,1.4,2,1,2,0,0,1,1,100.0,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0,Matches
1386,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,24-168,1996,26.5,35,18,27,8,0,10,18,55.6,8,217,63,29.0,124,85,8,36,19,0,17,29,64,143,2,Matches
1387,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,31-009,1990,9.8,13,5,8,4,1,6,18,33.3,12,124,33,26.6,56,50,18,14,6,0,8,13,26,21,2,Matches
1388,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,fr Ligue 1,24-320,1996,2.8,4,4,0,3,1,1,3,33.3,2,44,14,31.8,9,28,7,3,1,0,2,0,4,2,1,Matches
1389,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,it Serie A,21-322,1999,18.9,10,6,2,6,2,4,16,25.0,12,211,45,21.3,18,79,114,22,0,0,22,3,13,14,0,Matches
1390,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-219,1985,33.8,0,0,0,0,0,0,3,0.0,3,8,4,50.0,8,0,0,0,0,0,0,0,0,0,0,Matches
1391,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,de Bundesliga,30-083,1991,3.3,7,4,3,3,1,1,10,10.0,9,83,23,27.7,17,41,25,8,0,0,8,6,13,7,0,Matches
1392,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,30-002,1991,24.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,5,0,Matches
1393,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-074,1993,30.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,2,0,0,2,0,0,2,6,Matches
1394,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27-338,1993,21.2,79,45,31,39,9,28,82,34.1,54,457,133,29.1,136,228,93,45,12,0,33,29,108,33,0,Matches
1395,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,34-109,1987,19.7,60,40,32,26,2,23,79,29.1,56,411,139,33.8,164,217,30,23,1,0,22,41,101,33,0,Matches
1396,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,es La Liga,29-343,1991,28.5,40,23,33,7,0,16,24,66.7,8,232,78,33.6,157,69,6,46,17,2,29,48,88,191,0,Matches
1397,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,es La Liga,27-359,1993,6.0,11,8,6,5,0,3,11,27.3,8,96,26,27.1,37,37,22,14,2,0,12,6,17,19,0,Matches
1398,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25-167,1995,14.4,31,18,10,18,3,9,26,34.6,17,292,81,27.7,64,154,74,25,2,0,23,12,43,7,0,Matches
1399,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,eng Premier League,27-239,1993,16.1,45,28,22,16,7,14,31,45.2,17,266,83,31.2,96,129,41,25,5,0,20,36,81,31,0,Matches
1400,Fabien Lemoine\Fabien-Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34-043,1987,17.8,62,36,31,29,2,22,74,29.7,52,462,138,29.9,200,225,37,26,1,0,25,26,88,38,0,Matches
1401,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,25-315,1995,23.6,39,23,28,9,2,12,23,52.2,11,274,97,35.4,148,108,18,30,9,0,21,30,69,80,0,Matches
1402,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-055,1992,30.8,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,0,Matches
1403,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,26-218,1994,22.6,71,38,41,27,3,25,62,40.3,37,368,117,31.8,174,136,58,48,8,1,40,28,99,48,0,Matches
1404,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,34-155,1986,9.9,10,7,3,4,3,6,20,30.0,14,123,44,35.8,27,61,35,15,1,0,14,4,14,6,0,Matches
1405,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,32-112,1989,7.7,7,3,0,4,3,1,7,14.3,6,124,30,24.2,11,56,57,5,0,0,5,3,10,3,0,Matches
1406,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,27-290,1993,12.9,27,20,15,10,2,4,28,14.3,24,220,60,27.3,73,103,44,20,3,0,17,14,41,24,2,Matches
1407,Mehdi Léris\Mehdi-Leris,fr FRA,MFDF,Sampdoria,it Serie A,22-340,1998,2.6,10,8,4,3,3,4,9,44.4,5,88,23,26.1,26,40,22,13,4,0,9,8,18,8,0,Matches
1408,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,eng Premier League,21-222,1999,0.1,1,0,0,1,0,1,1,100.0,0,4,0,0.0,0,2,2,0,0,0,0,0,1,0,0,Matches
1409,Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,it Serie A,30-303,1990,15.0,35,24,23,10,2,12,34,35.3,22,172,51,29.7,102,57,13,37,5,0,32,16,51,33,2,Matches
1410,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32-250,1988,24.3,17,12,2,8,7,4,14,28.6,10,297,99,33.3,12,80,205,8,1,0,7,6,23,7,0,Matches
1411,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23-093,1998,20.3,50,26,34,14,2,21,41,51.2,20,331,81,24.5,178,119,34,35,7,0,28,20,70,33,1,Matches
1412,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Metz,fr Ligue 1,23-164,1997,11.2,9,5,3,3,3,3,10,30.0,7,121,26,21.5,4,56,61,6,3,0,3,2,11,4,0,Matches
1413,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,33-074,1988,16.9,41,26,17,20,4,18,44,40.9,26,263,88,33.5,73,151,39,28,1,0,27,20,61,11,0,Matches
1414,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,24-291,1996,29.3,25,14,16,8,1,4,17,23.5,13,182,58,31.9,100,75,7,46,15,0,31,33,58,114,1,Matches
1415,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,21-259,1999,20.2,26,16,13,12,1,9,13,69.2,4,182,62,34.1,87,84,11,30,12,0,18,19,45,80,0,Matches
1416,Isaac Lihadji\Isaac-Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,19-018,2002,2.2,9,6,1,6,2,4,6,66.7,2,46,14,30.4,6,20,20,6,0,0,6,0,9,1,0,Matches
1417,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,de Bundesliga,22-336,1998,4.2,8,5,5,2,1,3,6,50.0,3,73,22,30.1,22,34,17,6,0,0,6,1,9,1,0,Matches
1418,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,26-285,1994,25.7,20,13,11,9,0,9,18,50.0,9,165,58,35.2,98,61,6,38,17,0,21,22,42,117,1,Matches
1419,Karol Linetty\Karol-Linetty,pl POL,MF,Torino,it Serie A,26-085,1995,19.3,47,29,18,19,10,11,37,29.7,26,295,83,28.1,108,137,50,21,5,0,16,15,62,9,0,Matches
1420,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,eng Premier League,28-134,1992,10.8,9,7,4,4,1,3,11,27.3,8,227,51,22.5,36,124,67,5,0,0,5,7,16,0,0,Matches
1421,Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,it Serie A,23-258,1997,5.5,9,5,5,3,1,2,5,40.0,3,44,19,43.2,17,18,9,14,3,0,11,5,14,12,0,Matches
1422,Pol Lirola\Pol-Lirola,es ESP,DF,Marseille,fr Ligue 1,23-258,1997,13.3,24,12,14,8,2,10,24,41.7,14,151,48,31.8,59,52,40,23,4,0,19,24,48,26,0,Matches
1423,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,eng Premier League,31-165,1989,13.6,29,19,10,17,2,11,32,34.4,21,240,66,27.5,72,131,37,33,7,0,26,19,48,33,0,Matches
1424,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,eng Premier League,27-255,1993,10.0,31,23,18,13,0,12,21,57.1,9,193,70,36.3,118,71,4,21,12,0,9,26,57,46,1,Matches
1425,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,27-255,1993,1.0,1,0,1,0,0,0,1,0.0,1,7,2,28.6,5,1,1,1,1,1,0,0,1,11,0,Matches
1426,Fernando Llorente\Fernando-Llorente,es ESP,FW,Udinese,it Serie A,36-061,1985,7.4,4,2,1,3,0,3,6,50.0,3,102,23,22.5,17,55,30,2,0,0,2,4,8,16,0,Matches
1427,Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,it Serie A,36-061,1985,0.6,0,0,0,0,0,0,0,,0,6,2,33.3,0,3,3,0,0,0,0,0,0,0,0,Matches
1428,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,26-088,1995,28.1,68,41,23,30,15,24,47,51.1,23,558,166,29.7,115,281,162,57,4,0,53,27,95,22,0,Matches
1429,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-123,1986,33.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,Matches
1430,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,eng Premier League,25-019,1996,8.1,24,15,12,8,4,5,20,25.0,15,223,63,28.3,70,113,40,9,1,0,8,8,32,6,0,Matches
1431,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,26-154,1994,1.7,1,1,0,1,0,0,1,0.0,1,21,5,23.8,4,10,7,1,1,0,0,1,2,1,0,Matches
1432,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,23-110,1998,27.1,74,43,28,33,13,22,50,44.0,28,391,114,29.2,142,183,66,51,14,0,37,39,113,61,1,Matches
1433,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,23-020,1998,11.8,28,14,13,11,4,10,21,47.6,11,176,60,34.1,52,88,36,25,0,0,25,23,51,24,0,Matches
1434,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,25-095,1996,0.7,0,0,0,0,0,0,0,,0,14,4,28.6,3,7,4,1,0,0,1,1,1,0,0,Matches
1435,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,25-095,1996,20.2,31,21,11,14,6,8,20,40.0,12,323,95,29.4,61,167,95,23,2,0,21,21,52,15,0,Matches
1436,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27-274,1993,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
1437,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,30-253,1990,7.1,14,8,10,4,0,5,8,62.5,3,53,20,37.7,34,18,1,9,5,0,4,4,18,31,0,Matches
1438,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,eng Premier League,34-096,1987,2.3,2,0,0,0,2,1,3,33.3,2,34,7,20.6,2,19,13,1,0,0,1,2,4,1,0,Matches
1439,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21-038,2000,4.2,4,3,4,0,0,2,6,33.3,4,98,25,25.5,30,58,10,9,0,0,9,6,10,3,0,Matches
1440,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23-180,1997,13.2,28,16,10,15,3,17,52,32.7,35,314,79,25.2,127,154,33,23,1,0,22,15,43,18,1,Matches
1441,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,eng Premier League,23-190,1997,26.5,34,27,10,19,5,3,26,11.5,23,442,136,30.8,92,203,147,37,1,0,36,24,58,11,0,Matches
1442,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-209,1990,34.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,1,0,0,1,0,0,2,3,Matches
1443,Rony Lopes\Rony-Lopes,pt POR,FWMF,Nice,fr Ligue 1,25-121,1995,16.9,18,16,3,13,2,7,26,26.9,19,249,70,28.1,47,119,83,12,2,0,10,13,31,8,0,Matches
1444,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,es La Liga,37-178,1983,10.6,26,18,15,7,4,15,23,65.2,8,125,39,31.2,59,49,17,25,3,0,22,9,35,22,1,Matches
1445,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,33-110,1988,5.2,6,4,0,3,3,2,6,33.3,4,56,9,16.1,6,33,17,4,0,0,4,0,6,3,0,Matches
1446,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,es La Liga,19-117,2002,2.8,6,5,4,2,0,1,1,100.0,0,51,15,29.4,23,17,11,4,0,0,4,6,12,7,0,Matches
1447,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,it Serie A,23-145,1997,17.8,23,15,15,5,3,12,34,35.3,22,319,84,26.3,106,147,66,12,2,0,10,22,45,5,0,Matches
1448,Maxime Lopez\Maxime-Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,23-145,1997,1.5,1,0,1,0,0,0,3,0.0,3,28,6,21.4,10,12,6,0,0,0,0,1,2,3,0,Matches
1449,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-136,1994,20.2,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,1,0,0,1,0,0,0,1,Matches
1450,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,21-004,2000,4.9,4,2,2,1,1,1,7,14.3,6,69,17,24.6,17,40,12,4,0,0,4,1,5,4,0,Matches
1451,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,25-180,1995,12.7,24,16,11,11,2,5,20,25.0,15,198,60,30.3,54,117,27,19,2,0,17,7,31,16,1,Matches
1452,Dion Lopy\Dion-Lopy,sn SEN,MF,Reims,fr Ligue 1,19-085,2002,1.8,1,1,0,1,0,0,0,,0,32,8,25.0,11,17,4,0,0,0,0,3,4,0,0,Matches
1453,Jordan Lotomba\Jordan-Lotomba,ch SUI,DF,Nice,fr Ligue 1,22-211,1998,22.9,38,19,27,6,5,19,34,55.9,15,270,78,28.9,117,105,48,43,5,0,38,18,56,56,1,Matches
1454,Adrien Louveau\Adrien-Louveau,fr FRA,DFMF,Lens,fr Ligue 1,21-086,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1455,Imran Louza\Imran-Louza,fr FRA,MF,Nantes,fr Ligue 1,21-362,1999,22.5,44,32,21,19,4,15,50,30.0,35,448,120,26.8,123,240,85,36,6,0,30,29,73,17,2,Matches
1456,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,21-073,2000,15.2,27,18,15,10,2,10,20,50.0,10,194,69,35.6,95,90,9,27,10,0,17,19,46,85,2,Matches
1457,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23-352,1997,6.1,23,14,20,2,1,7,20,35.0,13,130,37,28.5,60,51,19,21,3,0,18,3,26,12,1,Matches
1458,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,de Bundesliga,24-090,1997,0.5,4,3,1,1,2,1,2,50.0,1,14,3,21.4,3,6,5,0,0,0,0,0,4,1,0,Matches
1459,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,31-323,1989,29.0,59,31,30,27,2,30,63,47.6,33,244,72,29.5,111,100,33,50,9,0,41,42,101,94,2,Matches
