,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-202,1996,27.9,45,23,26,13,6,17,39,43.6,22,235,58,24.7,124,89,22,44,6,0,38,49,94,120,0,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-326,2001,11.8,25,13,15,9,1,11,19,57.9,8,170,54,31.8,97,54,19,21,0,0,21,10,35,29,0,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-326,2001,2.1,3,2,1,2,0,2,4,50.0,2,33,11,33.3,19,10,4,4,1,0,3,1,4,0,0,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-170,1993,25.9,54,38,41,11,2,16,29,55.2,13,300,119,39.7,198,87,15,50,28,3,22,32,86,125,1,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-062,1994,29.0,31,16,2,20,9,2,25,8.0,23,329,83,25.2,22,153,154,15,6,0,9,10,41,42,0,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-283,1995,23.4,43,27,26,12,5,13,27,48.1,14,235,88,37.4,114,103,18,38,11,0,27,33,76,101,1,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-047,1993,6.4,16,9,14,2,0,8,15,53.3,7,78,23,29.5,52,22,4,21,4,0,17,6,22,23,2,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-113,2001,1.6,3,0,2,0,1,0,0,,0,29,2,6.9,4,9,16,2,0,0,2,1,4,3,0,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-069,1995,5.9,5,2,3,1,1,2,2,100.0,0,33,12,36.4,12,15,6,3,1,0,2,3,8,17,0,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-129,1997,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-199,1992,9.5,41,27,14,23,4,8,22,36.4,14,271,87,32.1,82,135,54,28,6,0,22,15,56,11,0,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-009,1995,11.4,22,11,14,7,1,8,12,66.7,4,160,56,35.0,72,77,11,33,13,2,20,9,31,35,0,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-308,1992,27.3,35,28,12,20,3,8,30,26.7,22,291,112,38.5,110,146,35,42,14,0,28,34,69,90,2,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-273,1998,16.2,62,33,35,16,11,31,46,67.4,15,260,86,33.1,152,69,39,35,2,0,33,33,95,45,0,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-215,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-202,1992,13.8,8,6,3,3,2,1,4,25.0,3,152,50,32.9,5,46,101,9,2,0,7,3,11,9,0,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-038,1989,28.1,38,21,19,13,6,21,54,38.9,33,286,83,29.0,102,128,56,55,4,0,51,36,74,38,0,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-212,1992,24.4,42,31,16,18,8,14,60,23.3,46,443,134,30.2,109,230,104,33,2,0,31,18,60,10,0,Matches
