 
,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1299,Aleksandr Kokorin\Aleksandr-Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30-040,1991,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1300,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Inter,it Serie A,35-169,1985,4.3,0,6,2,33.3,1.38,0.46,0.00,0.00,29.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1301,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,27-312,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1302,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,de Bundesliga,27-312,1993,13.8,1,6,1,16.7,0.43,0.07,0.17,1.00,15.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
1303,Randal Kolo Muani\Randal-Kolo-Muani,fr FRA,FW,Nantes,fr Ligue 1,22-144,1998,29.8,5,51,20,39.2,1.71,0.67,0.10,0.25,12.7,0,0,0,7.8,7.8,0.15,-2.8,-2.8,Matches
1304,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29-209,1991,19.9,0,10,2,20.0,0.50,0.10,0.00,0.00,10.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
1305,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,25-122,1995,26.0,2,8,4,50.0,0.31,0.15,0.25,0.50,22.6,0,0,0,0.3,0.3,0.04,+1.7,+1.7,Matches
1306,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,21-338,1999,7.0,1,5,2,40.0,0.71,0.28,0.20,0.50,7.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
1307,Moussa Konaté\Moussa-Konate,sn SEN,FW,Dijon,fr Ligue 1,28-025,1993,11.2,5,29,7,24.1,2.59,0.62,0.14,0.57,12.5,0,1,1,4.2,3.5,0.12,+0.8,+0.5,Matches
1308,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,28-072,1993,5.2,0,3,1,33.3,0.57,0.19,0.00,0.00,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1309,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,28-072,1993,4.9,0,4,2,50.0,0.82,0.41,0.00,0.00,33.2,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1310,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,32-086,1989,9.6,1,8,1,12.5,0.84,0.10,0.13,1.00,12.0,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
1311,Moussa Koné\Moussa-Kone,sn SEN,FW,Nîmes,fr Ligue 1,24-119,1996,16.1,6,23,11,47.8,1.43,0.69,0.26,0.55,13.2,0,0,0,4.8,4.8,0.21,+1.2,+1.2,Matches
1312,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,es La Liga,25-297,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1313,Terence Kongolo\Terence-Kongolo,nl NED,DF,Fulham,eng Premier League,27-073,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1314,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,23-187,1997,29.5,2,19,7,36.8,0.64,0.24,0.11,0.29,8.7,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches
1315,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35-230,1985,23.6,0,6,1,16.7,0.25,0.04,0.00,0.00,6.4,0,0,0,1.0,1.0,0.18,-1.0,-1.0,Matches
1316,Filip Kostić\Filip-Kostic,rs SRB,DF,Eint Frankfurt,de Bundesliga,28-178,1992,25.2,4,45,18,40.0,1.79,0.72,0.09,0.22,20.1,3,0,0,3.7,3.7,0.08,+0.3,+0.3,Matches
1317,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,it Serie A,23-143,1997,10.1,1,19,6,31.6,1.89,0.60,0.05,0.17,9.8,0,0,0,3.5,3.5,0.18,-2.5,-2.5,Matches
1318,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,de Bundesliga,18-325,2002,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1319,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,29-312,1991,23.5,0,10,1,10.0,0.42,0.04,0.00,0.00,11.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
1320,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,22-167,1998,28.1,2,20,5,25.0,0.71,0.18,0.10,0.40,10.9,0,0,0,2.0,2.0,0.10,0.0,0.0,Matches
1321,Boubakar Kouyaté\Boubakar-Kouyate,ml MLI,DF,Metz,fr Ligue 1,24-013,1997,20.4,1,12,4,33.3,0.59,0.20,0.08,0.25,8.6,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
1322,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,eng Premier League,31-128,1989,28.7,1,7,2,28.6,0.24,0.07,0.14,0.50,9.6,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
1323,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,26-357,1994,18.8,0,21,4,19.0,1.12,0.21,0.00,0.00,22.9,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
1324,Viktor Kovalenko\Viktor-Kovalenko,ua UKR,FW,Atalanta,it Serie A,25-073,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1325,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26-269,1994,10.5,0,6,2,33.3,0.57,0.19,0.00,0.00,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1326,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,de Bundesliga,29-313,1991,23.4,17,78,32,41.0,3.33,1.37,0.15,0.38,17.1,6,5,5,14.2,10.4,0.13,+2.8,+1.6,Matches
1327,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,de Bundesliga,30-068,1991,21.7,0,9,1,11.1,0.42,0.05,0.00,0.00,23.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
1328,Jean-Philippe Krasso\Jean-Philippe-Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,23-285,1997,2.5,0,4,3,75.0,1.61,1.21,0.00,0.00,12.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1329,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,31-114,1990,22.5,3,33,12,36.4,1.47,0.53,0.09,0.25,21.5,1,0,0,2.2,2.2,0.07,+0.8,+0.8,Matches
1330,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,eng Premier League,25-242,1995,6.1,0,8,2,25.0,1.32,0.33,0.00,0.00,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
1331,Rade Krunić\Rade-Krunic,ba BIH,MFFW,Milan,it Serie A,27-203,1993,7.2,1,8,5,62.5,1.12,0.70,0.13,0.20,21.3,1,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
1332,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,de Bundesliga,33-040,1988,15.8,10,20,10,50.0,1.26,0.63,0.25,0.50,19.4,1,5,6,6.3,1.7,0.08,+3.7,+3.3,Matches
1333,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,28-241,1992,7.7,0,2,1,50.0,0.26,0.13,0.00,0.00,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1334,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,es La Liga,19-328,2001,3.3,0,8,5,62.5,2.41,1.51,0.00,0.00,14.5,0,0,0,1.4,1.4,0.17,-1.4,-1.4,Matches
1335,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,es La Liga,19-328,2001,7.3,0,13,6,46.2,1.77,0.82,0.00,0.00,18.0,4,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
1336,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,it Serie A,34-061,1987,24.1,7,54,15,27.8,2.24,0.62,0.06,0.20,20.4,2,4,4,6.7,3.7,0.07,+0.3,-0.7,Matches
1337,Kuki\Kuki,es ESP,MF,Valladolid,es La Liga,22-358,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1338,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Juventus,it Serie A,21-003,2000,18.1,4,27,6,22.2,1.49,0.33,0.15,0.67,15.7,0,0,0,2.2,2.2,0.08,+1.8,+1.8,Matches
1339,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Roma,it Serie A,21-079,2000,10.9,1,3,2,66.7,0.28,0.18,0.33,0.50,7.7,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
1340,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,25-276,1995,5.7,0,7,0,0.0,1.23,0.00,0.00,,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1341,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,de Bundesliga,22-318,1998,13.9,0,7,1,14.3,0.50,0.07,0.00,0.00,18.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
1342,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,Parma,it Serie A,32-108,1989,26.8,4,30,9,30.0,1.12,0.34,0.13,0.44,16.2,0,0,0,3.6,3.6,0.12,+0.4,+0.4,Matches
1343,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,28-236,1992,13.6,1,11,2,18.2,0.81,0.15,0.09,0.50,16.6,1,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
1344,Dereck Kutesa\Dereck-Kutesa,ch SUI,MFFW,Reims,fr Ligue 1,23-143,1997,6.6,1,7,1,14.3,1.06,0.15,0.14,1.00,14.3,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
1345,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,21-058,2000,1.2,0,2,0,0.0,1.67,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
1346,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24-019,1997,7.5,0,2,1,50.0,0.27,0.13,0.00,0.00,12.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1347,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,it Serie A,25-053,1996,3.8,0,11,1,9.1,2.90,0.26,0.00,0.00,15.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
1348,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,26-360,1994,32.6,13,95,39,41.1,2.92,1.20,0.14,0.33,12.0,0,0,0,11.3,11.3,0.12,+1.7,+1.7,Matches
1349,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,29-335,1991,20.8,13,43,25,58.1,2.07,1.20,0.23,0.40,14.2,3,3,3,9.7,7.4,0.17,+3.3,+2.6,Matches
1350,Tom Lacoux\Tom-Lacoux,fr FRA,MF,Bordeaux,fr Ligue 1,19-093,2002,2.8,0,1,0,0.0,0.36,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
1351,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21-022,2000,25.8,1,17,2,11.8,0.66,0.08,0.06,0.50,8.7,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
1352,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-095,1999,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1353,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,31-174,1989,25.2,0,6,2,33.3,0.24,0.08,0.00,0.00,7.3,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches
1354,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28-244,1992,27.8,2,18,5,27.8,0.65,0.18,0.11,0.40,15.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
1355,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,es La Liga,20-323,2000,7.9,0,13,4,30.8,1.64,0.50,0.00,0.00,18.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
1356,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,29-207,1991,20.4,3,8,2,25.0,0.39,0.10,0.00,0.00,30.8,3,3,3,2.5,0.3,0.03,+0.5,-0.3,Matches
1357,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,eng Premier League,32-353,1988,16.5,1,22,4,18.2,1.33,0.24,0.05,0.25,16.3,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
1358,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,eng Premier League,29-055,1992,7.6,1,20,8,40.0,2.65,1.06,0.05,0.13,19.5,4,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
1359,Sam Lammers\Sam-Lammers,nl NED,FWMF,Atalanta,it Serie A,23-363,1997,2.8,2,8,4,50.0,2.82,1.41,0.25,0.50,13.2,0,0,0,1.2,1.2,0.15,+0.8,+0.8,Matches
1360,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,20-210,2000,9.8,1,6,2,33.3,0.61,0.20,0.17,0.50,12.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
1361,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,28-358,1992,14.1,1,7,2,28.6,0.50,0.14,0.14,0.50,7.8,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
1362,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-112,1985,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1363,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28-072,1993,4.8,1,11,3,27.3,2.28,0.62,0.09,0.33,16.5,1,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
1364,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Benevento,it Serie A,31-080,1990,24.3,6,63,23,36.5,2.60,0.95,0.10,0.26,15.7,3,0,1,8.2,7.3,0.12,-2.2,-1.3,Matches
1365,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,26-336,1994,12.9,0,5,1,20.0,0.39,0.08,0.00,0.00,12.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
1366,Julien Laporte\Julien-Laporte,fr FRA,DF,Lorient,fr Ligue 1,27-175,1993,27.0,0,8,1,12.5,0.30,0.04,0.00,0.00,12.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1367,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,36-353,1984,31.8,0,10,2,20.0,0.31,0.06,0.00,0.00,12.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
1368,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,24-064,1997,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1369,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,28-261,1992,12.3,2,43,14,32.6,3.51,1.14,0.05,0.14,14.6,1,0,0,7.3,7.3,0.17,-5.3,-5.3,Matches
1370,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Hellas Verona,it Serie A,28-261,1992,12.3,2,26,5,19.2,2.11,0.41,0.08,0.40,13.6,0,0,0,3.2,3.2,0.12,-1.2,-1.2,Matches
1371,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27-168,1993,18.1,2,15,3,20.0,0.83,0.17,0.13,0.67,9.5,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
1372,Paul Lasne\Paul-Lasne,fr FRA,MF,Brest,fr Ligue 1,32-102,1989,18.7,0,5,1,20.0,0.27,0.05,0.00,0.00,15.7,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
1373,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,23-158,1997,5.5,1,2,2,100.0,0.36,0.36,0.50,0.50,11.6,0,0,0,1.0,1.0,0.48,0.0,0.0,Matches
1374,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,31-142,1989,18.3,0,20,8,40.0,1.09,0.44,0.00,0.00,18.3,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
1375,Armand Lauriente\Armand-Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22-145,1998,17.3,3,57,20,35.1,3.30,1.16,0.05,0.15,22.7,13,0,0,3.1,3.1,0.05,-0.1,-0.1,Matches
1376,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,31-322,1989,6.9,0,1,0,0.0,0.15,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
1377,Lauti\Lauti,uy URU,MFFW,Celta Vigo,es La Liga,20-078,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1378,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,33-246,1987,16.9,0,8,3,37.5,0.47,0.18,0.00,0.00,25.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
1379,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,25-035,1996,12.2,2,14,4,28.6,1.15,0.33,0.14,0.50,16.7,0,0,0,1.9,1.9,0.14,+0.1,+0.1,Matches
1380,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,30-225,1990,22.8,3,28,11,39.3,1.23,0.48,0.11,0.27,17.1,2,0,0,2.7,2.7,0.10,+0.3,+0.3,Matches
1381,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,27-150,1993,23.4,2,18,5,27.8,0.77,0.21,0.11,0.40,19.8,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Matches
1382,Jérémy Le Douaron\Jeremy-Le-Douaron,fr FRA,FWMF,Brest,fr Ligue 1,23-007,1998,8.6,1,12,6,50.0,1.39,0.69,0.08,0.17,12.5,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches
1383,Enzo Le Fée\Enzo-Le-Fee,fr FRA,MFFW,Lorient,fr Ligue 1,21-084,2000,16.6,0,25,4,16.0,1.51,0.24,0.00,0.00,27.0,4,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
1384,Vincent Le Goff\Vincent-Le-Goff,fr FRA,DF,Lorient,fr Ligue 1,31-195,1989,21.6,0,8,4,50.0,0.37,0.18,0.00,0.00,18.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
1385,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,eng Premier League,31-199,1989,1.4,0,1,0,0.0,0.73,0.00,0.00,,33.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
1386,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,24-168,1996,26.5,0,12,1,8.3,0.45,0.04,0.00,0.00,10.2,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
1387,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,31-009,1990,9.8,0,8,2,25.0,0.82,0.20,0.00,0.00,10.2,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
1388,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,fr Ligue 1,24-320,1996,2.8,0,6,1,16.7,2.12,0.35,0.00,0.00,21.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
1389,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,it Serie A,21-322,1999,18.9,6,40,19,47.5,2.11,1.00,0.15,0.32,16.2,0,0,0,5.1,5.1,0.13,+0.9,+0.9,Matches
1390,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-219,1985,33.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1391,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,de Bundesliga,30-083,1991,3.3,0,1,1,100.0,0.30,0.30,0.00,0.00,12.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
1392,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,30-002,1991,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1393,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-074,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1394,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27-338,1993,21.2,4,37,11,29.7,1.75,0.52,0.08,0.27,21.0,0,1,1,3.8,3.0,0.08,+0.2,0.0,Matches
1395,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,34-109,1987,19.7,0,10,2,20.0,0.51,0.10,0.00,0.00,24.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
1396,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,es La Liga,29-343,1991,28.5,1,21,6,28.6,0.74,0.21,0.05,0.17,18.3,4,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
1397,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,es La Liga,27-359,1993,6.0,0,2,1,50.0,0.33,0.17,0.00,0.00,25.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1398,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25-167,1995,14.4,1,21,8,38.1,1.46,0.55,0.05,0.13,20.6,2,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
1399,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,eng Premier League,27-239,1993,16.1,1,14,2,14.3,0.87,0.12,0.07,0.50,22.4,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
1400,Fabien Lemoine\Fabien-Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34-043,1987,17.8,0,14,2,14.3,0.79,0.11,0.00,0.00,24.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
1401,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,25-315,1995,23.6,1,9,4,44.4,0.38,0.17,0.11,0.25,11.9,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches
1402,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-055,1992,30.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1403,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,26-218,1994,22.6,0,13,4,30.8,0.57,0.18,0.00,0.00,21.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
1404,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,34-155,1986,9.9,1,19,6,31.6,1.92,0.61,0.05,0.17,24.3,4,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
1405,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,32-112,1989,7.7,1,17,4,23.5,2.21,0.52,0.06,0.25,13.3,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches
1406,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,27-290,1993,12.9,0,5,2,40.0,0.39,0.16,0.00,0.00,15.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
1407,Mehdi Léris\Mehdi-Leris,fr FRA,MFDF,Sampdoria,it Serie A,22-340,1998,2.6,0,2,1,50.0,0.78,0.39,0.00,0.00,14.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1408,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,eng Premier League,21-222,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1409,Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,it Serie A,30-303,1990,15.0,3,12,7,58.3,0.80,0.47,0.25,0.43,22.4,0,0,0,0.3,0.3,0.03,+2.7,+2.7,Matches
1410,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32-250,1988,24.3,36,107,46,43.0,4.40,1.89,0.28,0.65,13.8,4,6,7,25.2,19.9,0.19,+10.8,+10.1,Matches
1411,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23-093,1998,20.3,0,3,1,33.3,0.15,0.05,0.00,0.00,18.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
1412,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Metz,fr Ligue 1,23-164,1997,11.2,4,18,6,33.3,1.61,0.54,0.11,0.33,14.8,0,2,3,4.7,2.4,0.13,-0.7,-0.4,Matches
1413,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,33-074,1988,16.9,2,24,6,25.0,1.42,0.35,0.04,0.17,27.7,7,1,2,2.6,0.9,0.04,-0.6,+0.1,Matches
1414,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,24-291,1996,29.3,4,9,4,44.4,0.31,0.14,0.44,1.00,6.9,0,0,0,2.0,2.0,0.22,+2.0,+2.0,Matches
1415,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,21-259,1999,20.2,1,16,6,37.5,0.79,0.30,0.06,0.17,10.7,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
1416,Isaac Lihadji\Isaac-Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,19-018,2002,2.2,0,4,2,50.0,1.84,0.92,0.00,0.00,13.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
1417,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,de Bundesliga,22-336,1998,4.2,0,6,3,50.0,1.43,0.71,0.00,0.00,17.3,1,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
