 
,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-211,1995,12.6,0,7,0,0.0,0.56,0.00,0.00,,16.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-202,1996,27.9,2,12,3,25.0,0.43,0.11,0.17,0.67,25.3,1,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-326,2001,11.8,1,12,4,33.3,1.02,0.34,0.08,0.25,20.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-326,2001,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-170,1993,25.9,2,8,3,37.5,0.31,0.12,0.25,0.67,9.3,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-062,1994,29.0,13,58,26,44.8,2.00,0.90,0.16,0.35,14.3,0,4,5,15.1,11.3,0.19,-2.1,-2.3,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-283,1995,23.4,2,16,4,25.0,0.68,0.17,0.13,0.50,13.6,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-047,1993,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-113,2001,1.6,0,4,0,0.0,2.47,0.00,0.00,,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-069,1995,5.9,1,2,1,50.0,0.34,0.17,0.50,1.00,10.5,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-129,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-199,1992,9.5,0,9,0,0.0,0.95,0.00,0.00,,17.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-009,1995,11.4,0,1,1,100.0,0.09,0.09,0.00,0.00,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-308,1992,27.3,2,16,4,25.0,0.59,0.15,0.13,0.50,25.2,3,0,0,0.7,0.7,0.04,+1.3,+1.3,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-273,1998,16.2,0,4,0,0.0,0.25,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-215,2001,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-202,1992,13.8,11,37,18,48.6,2.67,1.30,0.24,0.50,12.6,0,2,2,6.5,5.0,0.14,+4.5,+4.0,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-038,1989,28.1,3,21,11,52.4,0.75,0.39,0.14,0.27,20.3,1,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-212,1992,24.4,8,59,24,40.7,2.42,0.98,0.14,0.33,20.8,3,0,0,4.5,4.3,0.07,+3.5,+3.7,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-236,1985,30.6,0,8,1,12.5,0.26,0.03,0.00,0.00,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-161,1989,15.5,0,18,7,38.9,1.16,0.45,0.00,0.00,20.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-241,1993,15.4,6,35,17,48.6,2.27,1.10,0.14,0.29,13.3,3,1,2,8.2,6.7,0.20,-2.2,-1.7,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-040,1989,8.0,0,1,0,0.0,0.12,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-017,1991,15.6,0,14,3,21.4,0.90,0.19,0.00,0.00,21.5,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29-362,1991,21.8,1,23,3,13.0,1.06,0.14,0.04,0.33,24.6,4,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-123,1996,11.4,0,7,2,28.6,0.61,0.17,0.00,0.00,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-057,1989,19.9,1,8,2,25.0,0.40,0.10,0.13,0.50,7.5,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-077,1995,6.6,1,11,3,27.3,1.67,0.46,0.09,0.33,18.4,1,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-113,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-113,1998,12.1,1,24,5,20.8,1.98,0.41,0.04,0.20,20.4,0,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-069,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-203,1998,28.7,2,44,9,20.5,1.53,0.31,0.05,0.22,24.2,13,0,0,2.1,2.1,0.05,-0.1,-0.1,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,21-359,1999,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-099,2004,3.3,0,7,0,0.0,2.11,0.00,0.00,,12.0,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-075,1992,22.8,2,22,7,31.8,0.96,0.31,0.09,0.29,19.0,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-314,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-208,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-157,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-110,1991,16.8,0,4,1,25.0,0.24,0.06,0.00,0.00,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-017,1996,2.7,0,3,1,33.3,1.13,0.38,0.00,0.00,9.1,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-077,1994,22.3,4,29,11,37.9,1.30,0.49,0.14,0.36,17.9,1,0,0,3.1,3.1,0.11,+0.9,+0.9,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-121,1990,9.6,1,18,7,38.9,1.88,0.73,0.06,0.14,17.3,4,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-095,1992,17.0,0,6,2,33.3,0.35,0.12,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-094,1995,18.6,1,10,1,10.0,0.54,0.05,0.10,1.00,12.5,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-152,1981,15.1,0,6,2,33.3,0.40,0.13,0.00,0.00,25.9,3,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-232,1998,8.2,1,5,2,40.0,0.61,0.24,0.20,0.50,14.6,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-022,1993,16.6,0,15,5,33.3,0.91,0.30,0.00,0.00,19.0,0,0,0,2.1,2.1,0.14,-2.1,-2.1,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-244,1989,1.3,0,2,0,0.0,1.55,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-159,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-128,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,10.8,0,0,0,0.4,0.4,0.13,+0.6,+0.6,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-050,1994,8.2,1,4,1,25.0,0.49,0.12,0.25,1.00,10.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-031,1997,6.2,0,13,4,30.8,2.08,0.64,0.00,0.00,21.7,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-183,1996,20.1,2,42,14,33.3,2.08,0.69,0.05,0.14,23.6,3,0,0,2.1,2.1,0.05,-0.1,-0.1,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-226,2000,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-250,1996,24.9,0,9,3,33.3,0.36,0.12,0.00,0.00,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-201,1989,7.6,0,5,1,20.0,0.66,0.13,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-332,1996,26.7,1,9,3,33.3,0.34,0.11,0.11,0.33,13.5,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-332,1996,2.1,0,5,0,0.0,2.34,0.00,0.00,,20.0,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-007,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-173,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-013,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-287,1991,10.1,2,31,10,32.3,3.08,0.99,0.03,0.10,12.4,0,1,1,4.4,3.6,0.12,-2.4,-2.6,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-016,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-268,1990,29.4,0,20,7,35.0,0.68,0.24,0.00,0.00,13.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-218,1994,27.1,5,38,9,23.7,1.40,0.33,0.13,0.56,22.1,3,0,0,2.4,2.4,0.06,+2.6,+2.6,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-211,1996,18.3,0,6,1,16.7,0.33,0.05,0.00,0.00,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-310,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-048,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-235,1989,6.5,0,1,0,0.0,0.15,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-114,1997,22.7,4,34,13,38.2,1.50,0.57,0.12,0.31,16.0,4,0,0,3.7,3.7,0.11,+0.3,+0.3,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-316,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-213,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-220,1986,16.2,1,13,6,46.2,0.80,0.37,0.00,0.00,23.8,1,1,1,1.5,0.8,0.06,-0.5,-0.8,Matches
