,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1102,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,eng Premier League,19-100,2002,4.4,234,201,33,1,0,25,3,8,0,0,0,0,144,55,35,20,170,10,32,0,175,1,8,6,12,Matches
1103,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,de Bundesliga,31-050,1990,26.3,1178,1121,57,29,0,217,17,10,0,0,0,0,817,177,184,302,751,72,0,5,982,3,12,18,32,Matches
1104,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,de Bundesliga,28-288,1992,18.5,926,759,167,53,1,119,77,35,95,30,46,12,602,118,206,134,752,13,16,4,690,5,13,18,38,Matches
1105,Marco Höger\Marco-Hoger,de GER,DF,Köln,de Bundesliga,31-224,1989,0.6,29,24,5,0,0,3,0,2,0,0,0,0,10,9,10,0,17,5,5,0,20,0,1,0,0,Matches
1106,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,eng Premier League,25-220,1995,24.4,1533,1500,33,26,0,107,56,2,0,0,0,0,1213,107,213,162,1273,61,7,6,1371,2,29,12,6,Matches
1107,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,de Bundesliga,26-292,1994,21.0,595,577,18,3,0,175,9,22,0,0,0,0,356,127,112,77,405,44,3,5,404,2,14,20,43,Matches
1108,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,eng Premier League,24-188,1996,21.6,1051,920,131,27,1,107,38,25,0,0,0,0,673,126,252,149,725,52,104,2,826,2,25,27,18,Matches
1109,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,es La Liga,21-230,1999,1.2,93,89,4,4,0,14,3,2,0,0,0,0,78,3,12,68,25,0,0,0,82,0,2,1,1,Matches
1110,Franck Honorat\Franck-Honorat,fr FRA,MFFW,Brest,fr Ligue 1,24-260,1996,23.3,887,786,101,31,2,126,54,98,37,17,8,3,480,193,214,85,713,38,30,3,591,7,19,38,52,Matches
1111,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,de Bundesliga,20-046,2001,12.0,212,183,29,0,0,47,1,1,0,0,0,0,143,43,26,39,134,15,2,8,153,0,3,9,10,Matches
1112,Jannes Horn\Jannes-Horn,de GER,DF,Köln,de Bundesliga,24-081,1997,18.3,844,726,118,19,0,91,20,38,0,0,0,0,503,128,213,602,93,38,99,2,677,0,19,12,22,Matches
1113,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,27-351,1993,30.4,1241,953,288,91,0,79,27,0,0,0,0,0,607,52,582,849,209,0,0,107,901,4,26,11,2,Matches
1114,Fraser Hornby\Fraser-Hornby,sco SCO,FW,Reims,fr Ligue 1,21-227,1999,0.4,9,9,0,0,0,2,0,0,0,0,0,0,3,3,3,2,3,3,0,0,4,0,0,0,0,Matches
1115,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,eng Premier League,30-085,1991,2.5,155,119,36,17,0,11,7,12,15,4,5,1,102,20,33,144,5,2,2,0,116,2,1,1,3,Matches
1116,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,31-155,1989,25.5,1269,1074,195,43,0,127,24,0,0,0,0,0,749,67,453,249,852,3,1,152,982,6,20,8,3,Matches
1117,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,de Bundesliga,24-297,1996,1.2,92,82,10,3,0,9,9,4,7,3,2,0,74,4,14,80,9,1,0,1,75,1,1,1,1,Matches
1118,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,de Bundesliga,30-058,1991,5.8,238,224,14,7,0,38,1,1,0,0,0,0,150,31,57,55,140,22,7,0,177,1,17,3,2,Matches
1119,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,eng Premier League,20-172,2000,11.1,617,588,29,2,1,71,28,41,4,1,2,0,469,63,85,69,514,6,23,2,512,1,16,10,22,Matches
1120,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,eng Premier League,20-131,2000,0.4,23,20,3,0,0,3,2,1,0,0,0,0,14,6,3,3,15,2,3,0,17,0,1,1,0,Matches
1121,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,de Bundesliga,32-133,1988,28.9,2444,2377,67,59,5,240,120,2,0,0,0,0,1852,232,360,789,1477,95,7,7,2163,4,50,19,18,Matches
1122,Adrien Hunou\Adrien-Hunou,fr FRA,FWMF,Rennes,fr Ligue 1,27-099,1994,6.5,195,185,10,0,0,42,3,8,0,0,0,0,128,50,17,12,166,12,2,1,149,0,2,5,8,Matches
1123,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,de Bundesliga,37-259,1983,4.2,85,76,9,0,0,26,1,0,0,0,0,0,44,29,12,14,46,7,2,5,62,0,0,3,2,Matches
1124,Elseid Hysaj\Elseid-Hysaj,al ALB,DF,Napoli,it Serie A,27-067,1994,15.2,1006,861,145,25,3,104,11,9,1,0,0,0,689,161,156,280,575,27,119,0,848,3,8,27,20,Matches
1125,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,eng Premier League,25-266,1995,33.0,2320,2226,94,87,2,198,57,10,0,0,0,0,1847,207,266,290,1898,89,7,6,2053,5,31,35,10,Matches
1126,Simone Iacoponi\Simone-Iacoponi,it ITA,DF,Parma,it Serie A,33-363,1987,13.3,726,645,81,31,0,44,35,7,0,0,0,0,493,85,148,64,595,15,48,1,627,1,7,9,18,Matches
1127,Iago\Iago,br BRA,DF,Augsburg,de Bundesliga,24-036,1997,15.4,748,624,124,13,0,100,12,31,0,0,0,0,409,167,172,472,107,43,111,0,547,4,14,26,33,Matches
1128,Roger Ibanez\Roger-Ibanez,br BRA,DF,Roma,it Serie A,22-156,1998,25.4,1572,1501,71,61,3,111,51,3,0,0,0,0,1219,160,193,274,1192,65,7,6,1374,2,19,26,26,Matches
1129,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Schalke 04,de Bundesliga,36-265,1984,1.7,35,33,2,0,0,10,0,0,0,0,0,0,17,9,9,0,24,3,0,2,25,0,0,1,1,Matches
1130,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,es La Liga,33-102,1988,10.3,604,587,17,17,0,59,10,1,0,0,0,0,496,43,65,104,465,18,0,3,545,3,6,6,10,Matches
1131,Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Dijon,fr Ligue 1,26-315,1994,28.0,1428,1397,31,28,2,175,50,16,0,0,0,0,1113,142,173,179,1171,46,3,2,1231,3,28,22,21,Matches
1132,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FW,Milan,it Serie A,39-207,1981,14.9,480,442,38,2,2,128,9,12,2,0,0,0,297,115,68,48,343,27,2,8,332,4,6,13,25,Matches
1133,Mauro Icardi\Mauro-Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,28-068,1993,10.7,148,128,20,0,3,26,0,2,1,0,0,0,103,25,20,23,108,8,1,4,119,0,2,4,5,Matches
1134,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,es La Liga,25-061,1996,0.3,10,10,0,0,0,2,3,3,0,0,0,0,5,2,3,4,5,1,0,0,8,0,0,1,1,Matches
1135,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,eng Premier League,31-316,1989,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
1136,Iglesias\Iglesias,es ESP,DFFW,Getafe,es La Liga,22-299,1998,4.1,137,100,37,3,0,21,5,6,0,0,0,0,50,15,72,7,86,8,33,1,76,0,6,1,4,Matches
1137,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,es La Liga,28-101,1993,11.1,198,182,16,0,0,46,5,5,1,0,0,0,122,41,35,41,121,16,0,2,141,1,3,11,5,Matches
1138,Igor\Igor,br BRA,DF,Fiorentina,it Serie A,23-080,1998,11.4,711,670,41,22,3,53,17,2,0,0,0,0,578,48,85,609,55,15,19,1,635,0,8,7,7,Matches
1139,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,eng Premier League,24-207,1996,11.9,361,349,12,0,2,90,6,8,1,0,0,0,295,46,20,326,22,8,0,2,288,3,3,21,14,Matches
1140,Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Lille,fr Ligue 1,22-361,1998,23.4,739,708,31,13,6,161,11,11,0,0,0,0,593,84,62,611,72,20,11,11,589,3,10,29,24,Matches
1141,Yun Il-lok\Yun-Il-lok,kr KOR,MFFW,Montpellier,fr Ligue 1,29-052,1992,3.5,109,102,7,1,0,28,5,2,4,1,3,0,75,16,18,22,73,5,1,0,80,1,3,2,7,Matches
1142,Ilaix\Ilaix,es ESP,MF,Barcelona,es La Liga,18-099,2003,2.9,205,200,5,5,1,42,1,0,0,0,0,0,193,6,6,41,158,1,0,2,193,0,2,2,1,Matches
1143,Ivan Ilić\Ivan-Ilic,rs SRB,MF,Hellas Verona,it Serie A,20-042,2001,16.1,928,867,61,38,1,120,20,10,20,5,7,7,689,94,145,779,73,49,0,3,776,4,16,22,16,Matches
1144,Josip Iličić\Josip-Ilicic,si SVN,FWMF,Atalanta,it Serie A,33-089,1988,16.1,944,867,77,27,6,144,53,57,40,17,15,2,651,125,168,766,157,5,6,9,692,2,18,33,40,Matches
1145,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,es La Liga,31-051,1990,3.6,256,232,24,22,1,23,6,2,0,0,0,0,192,22,42,25,215,6,2,1,233,1,0,1,1,Matches
1146,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,de Bundesliga,31-345,1989,16.2,809,774,35,29,0,100,14,2,0,0,0,0,540,96,173,91,621,64,6,5,646,0,11,13,16,Matches
1147,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,it Serie A,31-067,1990,26.7,768,744,24,3,5,148,15,17,5,4,0,0,559,132,77,74,636,18,5,16,569,2,11,36,32,Matches
1148,Riccardo Improta\Riccardo-Improta,it ITA,DFMF,Benevento,it Serie A,27-130,1993,22.2,823,732,91,15,4,142,20,54,2,1,1,0,461,156,206,194,479,42,74,0,594,2,13,23,38,Matches
1149,Roberto Inglese\Roberto-Inglese,it ITA,FW,Parma,it Serie A,29-167,1991,6.4,115,103,12,0,1,28,3,3,0,0,0,0,64,25,26,17,74,12,0,4,75,0,2,4,7,Matches
1150,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,eng Premier League,28-279,1992,21.3,456,447,9,0,1,115,10,22,0,0,0,0,284,82,90,54,363,20,2,5,295,3,12,19,25,Matches
1151,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,de Bundesliga,25-114,1996,20.0,603,571,32,20,1,159,13,23,11,8,3,0,359,122,122,391,113,50,0,8,429,6,14,13,24,Matches
1152,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FW,Napoli,it Serie A,29-328,1991,26.8,1573,1438,135,40,5,227,82,56,55,26,2,6,1094,201,278,83,1425,20,35,7,1251,13,18,46,38,Matches
1153,Roberto Insigne\Roberto-Insigne,it ITA,MFFW,Benevento,it Serie A,26-352,1994,15.7,532,489,43,9,3,91,17,24,27,6,15,0,379,55,98,458,41,22,3,2,419,1,5,13,16,Matches
1154,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,es La Liga,27-231,1993,17.6,756,731,25,24,0,88,27,2,0,0,0,0,549,62,145,74,612,44,1,2,647,3,16,9,5,Matches
1155,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,es La Liga,32-330,1988,19.1,498,465,33,3,1,114,29,68,2,1,0,0,296,112,90,57,394,12,22,4,338,0,29,7,30,Matches
1156,Artur Ioniță\Artur-Ionita,md MDA,MF,Benevento,it Serie A,30-254,1990,28.9,720,702,18,12,0,163,11,17,0,0,0,0,470,117,133,169,419,72,3,7,564,4,11,11,29,Matches
1157,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,es La Liga,21-219,1999,22.2,381,339,42,1,4,94,5,20,0,0,0,0,260,72,49,68,262,24,1,5,278,2,7,14,22,Matches
1158,Isco\Isco,es ESP,MFFW,Real Madrid,es La Liga,29-007,1992,9.2,650,613,37,14,0,94,17,17,14,2,2,5,502,67,81,48,583,4,9,5,561,9,6,11,12,Matches
1159,Ardian Ismajli\Ardian-Ismajli,al ALB,DF,Spezia,it Serie A,24-210,1996,11.4,596,571,25,23,0,65,18,1,0,0,0,0,455,50,91,66,482,31,2,2,533,1,5,7,3,Matches
1160,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,eng Premier League,37-065,1984,8.5,311,290,21,20,0,27,9,0,0,0,0,0,223,35,53,26,240,32,1,0,265,0,7,3,5,Matches
1161,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,eng Premier League,24-360,1996,15.7,641,610,31,0,1,90,23,48,0,0,0,0,463,89,89,68,532,6,30,1,493,5,9,13,31,Matches
1162,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,es La Liga,27-188,1993,12.9,415,370,45,2,0,84,12,23,5,2,3,0,252,88,75,327,32,12,37,2,303,1,10,14,21,Matches
1163,José Izquierdo\Jose-Izquierdo,co COL,DFMF,Brighton,eng Premier League,28-295,1992,0.1,9,7,2,0,0,1,0,1,0,0,0,0,6,2,1,0,7,0,2,0,8,0,0,0,0,Matches
1164,Armando Izzo\Armando-Izzo,it ITA,DF,Torino,it Serie A,29-057,1992,18.9,982,912,70,54,0,106,40,10,0,0,0,0,619,108,255,253,636,51,16,5,815,3,20,13,6,Matches
1165,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,38-254,1982,5.8,184,172,12,7,0,28,10,1,0,0,0,0,109,21,54,29,132,11,5,0,142,0,7,3,2,Matches
1166,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWDF,Brighton,eng Premier League,27-260,1993,3.3,143,134,9,1,2,18,4,15,2,0,2,0,97,21,25,9,119,7,4,3,104,0,2,3,8,Matches
1167,Mato Jajalo\Mato-Jajalo,ba BIH,MF,Udinese,it Serie A,32-338,1988,0.4,29,27,2,2,0,5,0,0,0,0,0,0,23,2,4,6,23,0,0,0,23,0,0,2,1,Matches
1168,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,de Bundesliga,21-254,1999,17.7,639,551,88,6,0,111,21,56,1,1,0,0,322,153,164,470,51,21,81,3,429,3,17,15,31,Matches
1169,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,eng Premier League,23-169,1997,9.1,286,283,3,1,1,56,3,17,0,0,0,0,236,28,22,32,241,6,2,0,221,1,6,4,16,Matches
1170,Reece James\Reece-James,eng ENG,DF,Chelsea,eng Premier League,21-141,1999,21.4,1620,1423,197,19,1,157,54,89,24,7,12,1,1087,291,242,151,1250,43,154,5,1360,5,19,23,44,Matches
1171,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,eng Premier League,19-124,2001,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,Matches
1172,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,es La Liga,25-188,1995,9.5,392,296,96,2,0,64,6,21,0,0,0,0,208,75,109,34,232,18,94,3,277,1,8,9,17,Matches
1173,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,it Serie A,25-099,1996,23.0,767,723,44,12,2,108,19,51,13,4,5,2,466,125,176,611,102,32,19,0,514,8,18,19,29,Matches
1174,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,de Bundesliga,31-021,1990,2.9,253,250,3,2,0,17,6,0,0,0,0,0,218,14,21,42,199,8,1,2,233,0,5,1,2,Matches
1175,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,es La Liga,26-082,1995,8.9,412,351,61,15,3,73,31,31,35,15,12,3,274,50,88,335,55,3,9,2,282,4,12,12,22,Matches
1176,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,36-211,1984,8.0,284,189,95,21,0,10,4,0,0,0,0,0,117,11,156,24,213,0,0,25,184,2,4,3,2,Matches
1177,Jason\Jason,es ESP,MFDF,Valencia,es La Liga,26-296,1994,4.8,140,132,8,2,0,16,5,12,0,0,0,0,81,30,29,13,111,8,6,0,93,2,6,6,4,Matches
1178,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,es La Liga,23-147,1997,14.0,223,215,8,0,1,65,3,15,0,0,0,0,140,46,37,45,151,11,0,5,135,1,10,8,17,Matches
1179,Corentin Jean\Corentin-Jean,fr FRA,FW,Lens,fr Ligue 1,25-287,1995,5.8,157,146,11,1,1,26,5,7,5,1,3,1,105,23,29,25,112,12,2,3,115,0,3,3,8,Matches
1180,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,25-151,1995,1.7,127,109,18,1,1,8,2,2,0,0,0,0,86,20,21,11,95,4,17,0,110,0,2,1,3,Matches
1181,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,de Bundesliga,23-231,1997,3.7,91,88,3,0,1,32,4,4,1,0,1,0,62,13,16,12,68,4,2,2,64,0,1,3,4,Matches
1182,Jesé\Jese,es ESP,FW,Paris S-G,fr Ligue 1,28-061,1993,0.3,8,8,0,0,0,2,0,1,0,0,0,0,8,0,0,1,7,0,0,0,4,0,0,1,2,Matches
1183,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,eng Premier League,24-025,1997,19.0,591,555,36,4,1,125,8,9,5,0,0,0,480,70,41,89,464,13,4,14,498,1,5,12,16,Matches
1184,Juan Jesus\Juan-Jesus,br BRA,DF,Roma,it Serie A,29-322,1991,1.2,99,96,3,3,0,6,1,0,0,0,0,0,85,3,11,88,9,1,0,0,90,1,1,0,2,Matches
1185,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,eng Premier League,29-358,1991,9.1,263,255,8,1,2,76,10,3,0,0,0,0,170,60,33,21,206,13,1,11,207,2,6,2,9,Matches
1186,Joaquín\Joaquin,es ESP,FWMF,Betis,es La Liga,39-281,1981,12.7,664,593,71,21,1,87,24,31,38,5,19,2,496,69,99,40,591,12,12,2,536,2,18,17,18,Matches
1187,John Joe\John-Joe,ie IRL,MFDF,Getafe,es La Liga,17-216,2003,0.7,21,21,0,0,0,4,0,0,0,0,0,0,12,6,3,4,12,3,0,1,11,0,0,1,4,Matches
1188,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,eng Premier League,24-257,1996,20.3,557,546,11,1,3,217,5,14,0,0,0,0,379,105,73,99,363,19,0,13,410,1,14,16,30,Matches
1189,Marco John\Marco-John,de GER,DF,Hoffenheim,de Bundesliga,19-026,2002,10.5,506,410,96,2,0,48,8,26,0,0,0,0,296,142,68,323,62,19,94,1,401,1,3,19,27,Matches
1190,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,eng Premier League,21-094,2000,5.8,219,194,25,1,0,40,7,14,0,0,0,0,115,51,53,50,135,7,24,0,154,0,7,15,14,Matches
1191,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,28-034,1993,32.0,1092,688,404,157,1,53,51,0,0,0,0,0,244,41,807,43,804,1,0,142,554,6,62,7,7,Matches
1192,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,eng Premier League,20-088,2001,12.3,910,900,10,1,1,91,11,7,0,0,0,0,789,49,72,119,741,32,5,5,830,2,1,15,10,Matches
1193,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,es La Liga,23-351,1997,30.2,2494,2454,40,24,8,309,31,14,0,0,0,0,2152,203,139,157,2228,55,15,8,2286,12,15,40,25,Matches
1194,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,es La Liga,30-244,1990,13.0,317,300,17,0,1,109,6,1,0,0,0,0,178,78,61,52,183,26,0,7,239,0,9,8,9,Matches
1195,Jony\Jony,es ESP,MFFW,Osasuna,es La Liga,29-293,1991,8.4,350,314,36,6,1,58,26,49,9,4,4,0,178,62,110,262,42,20,20,1,204,1,13,5,29,Matches
1196,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,es La Liga,26-296,1994,23.9,1825,1709,116,73,4,281,109,28,30,3,9,1,1341,185,299,209,1532,54,11,5,1595,2,25,30,25,Matches
1197,Jorginho\Jorginho,it ITA,MF,Chelsea,eng Premier League,29-129,1991,19.4,1521,1499,22,22,2,167,24,0,0,0,0,0,1228,113,180,113,1354,40,0,3,1360,1,19,29,11,Matches
1198,Josan\Josan,es ESP,MFDF,Elche,es La Liga,31-146,1989,18.3,702,614,88,11,1,125,18,57,16,6,6,1,449,120,133,84,520,26,61,2,516,3,13,20,34,Matches
1199,Willian José\Willian-Jose,br BRA,FW,Wolves,eng Premier League,29-156,1991,10.8,268,253,15,0,0,80,12,3,0,0,0,0,177,48,43,26,206,11,1,11,221,1,2,7,7,Matches
1200,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,es La Liga,29-156,1991,7.7,241,221,20,1,2,72,18,3,0,0,0,0,152,52,37,18,202,7,2,4,186,3,3,9,8,Matches
1201,Joselu\Joselu,es ESP,FW,Alavés,es La Liga,31-032,1990,29.5,910,889,21,0,5,382,21,20,0,0,0,0,361,294,255,135,410,130,4,27,532,4,19,29,34,Matches
1202,Josema\Josema,es ESP,DF,Elche,es La Liga,24-326,1996,20.1,910,802,108,26,0,121,33,16,0,0,0,0,555,120,235,715,51,39,82,2,705,0,18,15,19,Matches
1203,Jota\Jota,pt POR,FW,Valladolid,es La Liga,22-029,1999,5.5,,,,,,,,12,,,,,,,,,,,,,,,,,,Matches
1204,Jota\Jota,es ESP,MF,Alavés,es La Liga,29-316,1991,14.0,462,424,38,21,3,100,21,20,10,5,3,0,308,49,105,396,41,16,1,0,344,3,10,18,10,Matches
1205,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,eng Premier League,24-145,1996,10.7,392,389,3,0,1,79,4,13,0,0,0,0,289,55,48,118,255,10,0,4,291,2,6,16,21,Matches
1206,Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,Monaco,fr Ligue 1,31-177,1989,8.9,382,361,21,1,2,88,12,15,14,4,6,0,240,67,75,41,304,21,3,7,269,4,5,12,20,Matches
1207,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,es La Liga,23-126,1997,1.7,41,38,3,0,0,9,0,1,0,0,0,0,27,10,4,6,33,1,0,0,34,0,1,1,2,Matches
1208,Luka Jović\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,de Bundesliga,23-126,1997,8.7,259,249,10,1,2,76,7,5,0,0,0,0,170,53,36,44,174,17,1,3,202,0,3,10,6,Matches
1209,Juanmi\Juanmi,es ESP,FWMF,Betis,es La Liga,27-343,1993,6.7,144,136,8,0,0,35,1,0,0,0,0,0,97,30,17,25,98,6,4,2,112,0,1,2,6,Matches
1210,Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,FWMF,Sassuolo,it Serie A,21-071,2000,17.0,738,677,61,9,1,124,29,22,45,18,12,7,593,59,86,99,612,13,4,2,552,6,11,36,27,Matches
1211,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,es La Liga,20-290,2000,18.4,696,680,16,2,3,107,10,41,1,0,0,0,571,68,57,74,589,11,12,9,575,2,10,13,24,Matches
1212,James Justin\James-Justin,eng ENG,DF,Leicester City,eng Premier League,23-064,1998,23.0,1248,1067,181,12,1,127,18,48,0,0,0,0,766,251,231,237,754,64,169,5,989,5,20,23,44,Matches
1213,Musa Juwara\Musa-Juwara,gm GAM,DF,Bologna,it Serie A,19-123,2001,0.4,22,19,3,0,0,3,0,2,0,0,0,0,10,6,6,17,1,1,3,0,15,0,1,0,2,Matches
1214,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,es La Liga,28-108,1993,24.8,605,592,13,12,1,118,9,3,0,0,0,0,358,96,151,59,448,53,1,10,460,4,11,12,7,Matches
1215,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,eng Premier League,21-034,2000,8.9,555,543,12,11,0,72,18,0,0,0,0,0,451,48,56,76,447,14,1,1,503,2,11,3,0,Matches
1216,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,21-034,2000,13.8,680,666,14,12,2,90,18,0,0,0,0,0,518,51,111,85,540,22,2,2,605,1,5,8,2,Matches
1217,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,27-003,1994,10.2,494,445,49,23,1,80,11,20,17,3,9,5,360,64,70,45,424,10,7,2,371,2,9,13,26,Matches
1218,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,de Bundesliga,29-003,1992,14.6,773,614,159,4,1,115,5,46,0,0,0,0,343,224,206,50,497,40,155,4,558,2,6,20,42,Matches
1219,Tino Kadewere\Tino-Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,25-113,1996,21.3,605,597,8,0,1,136,8,33,0,0,0,0,449,84,72,81,479,16,3,5,447,0,10,23,29,Matches
1220,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,es La Liga,28-316,1992,2.2,76,59,17,6,0,12,8,13,10,2,6,2,35,11,30,61,9,4,1,1,44,1,2,0,5,Matches
1221,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,de Bundesliga,28-186,1992,3.0,123,112,11,5,0,26,3,12,3,3,0,0,81,13,29,30,88,1,3,0,85,1,3,5,4,Matches
1222,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Lens,fr Ligue 1,29-311,1991,24.6,1068,974,94,39,6,228,35,46,49,29,15,1,733,146,189,859,156,29,4,5,777,8,22,26,46,Matches
1223,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,23-295,1997,20.8,591,538,53,2,3,206,7,5,0,0,0,0,358,136,97,83,388,37,2,15,411,0,9,19,28,Matches
1224,Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,19-097,2002,0.8,22,21,1,0,0,5,0,0,0,0,0,0,20,1,1,5,16,0,1,0,20,0,0,0,1,Matches
1225,Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FWMF,Lens,fr Ligue 1,19-097,2002,12.0,262,249,13,1,0,44,3,13,0,0,0,0,214,28,20,57,191,6,3,4,202,1,6,10,13,Matches
1226,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Hellas Verona,it Serie A,33-113,1988,8.0,159,140,19,0,0,51,3,2,0,0,0,0,94,41,24,15,127,2,0,7,114,0,3,4,11,Matches
1227,Samuel Kalu\Samuel-Kalu,ng NGA,FW,Bordeaux,fr Ligue 1,23-245,1997,10.1,305,292,13,3,0,70,17,16,7,4,0,3,213,51,41,23,257,11,3,1,221,1,9,8,17,Matches
1228,Pierre Kalulu\Pierre-Kalulu,fr FRA,DF,Milan,it Serie A,20-327,2000,8.1,499,459,40,8,0,33,3,12,0,0,0,0,385,45,69,53,391,19,26,4,427,2,6,3,7,Matches
