,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-308,1992,27.3,2071,1978,93,50,4,162,40,22,1,0,1,0,1580,164,327,1717,234,66,40,2,1766,11,24,29,32,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-273,1998,16.2,875,683,192,17,0,74,18,15,0,0,0,0,506,232,137,58,615,20,174,2,694,3,18,30,29,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-215,2001,0.8,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-202,1992,13.8,314,298,16,1,0,82,1,0,0,0,0,0,198,73,43,37,220,22,0,14,239,0,1,8,11,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-038,1989,28.1,2405,2181,224,22,6,158,35,90,3,0,0,0,1792,392,221,1873,302,22,199,6,2064,4,19,45,77,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-212,1992,24.4,1612,1385,227,66,13,245,55,28,103,50,28,11,1167,165,280,78,1483,19,16,10,1259,12,17,36,36,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-236,1985,30.6,1813,1749,64,59,0,156,62,3,0,0,0,0,1436,127,250,253,1456,66,4,2,1619,1,28,12,17,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-161,1989,15.5,707,642,65,10,6,128,27,60,25,4,10,1,420,137,150,55,587,20,30,6,482,6,11,25,58,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-241,1993,15.4,249,215,34,0,6,36,5,5,0,0,0,0,154,64,31,31,188,17,1,3,185,2,4,9,9,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-040,1989,8.0,223,209,14,14,0,17,19,0,0,0,0,0,137,15,71,10,187,19,0,1,171,2,5,1,2,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-017,1991,15.6,1290,1257,33,25,3,157,59,3,0,0,0,0,946,148,196,63,1165,36,3,3,1153,2,15,23,19,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29-362,1991,21.8,1040,995,45,40,1,181,68,5,1,1,0,0,689,98,253,155,787,49,4,8,858,4,29,20,19,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-123,1996,11.4,700,681,19,19,0,50,17,1,0,0,0,0,499,37,164,618,40,29,0,2,571,4,7,13,8,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-057,1989,19.9,1059,1020,39,32,2,77,35,1,0,0,0,0,709,94,256,209,763,59,7,4,876,1,16,14,10,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-077,1995,6.6,179,166,13,1,1,40,11,35,3,1,2,0,91,40,48,12,140,7,7,1,98,0,7,3,24,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-113,1998,0.5,42,42,0,0,0,6,2,0,0,0,0,0,36,3,3,36,4,0,0,0,38,0,1,1,0,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-113,1998,12.1,451,401,50,22,1,69,20,18,22,7,9,0,281,57,113,373,43,22,4,1,318,6,11,16,16,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-069,1995,0.2,11,8,3,2,0,1,0,0,0,0,0,0,7,1,3,1,8,0,0,2,7,0,1,0,0,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-203,1998,28.7,2561,2151,410,53,5,207,128,151,79,14,43,4,1444,451,666,281,1938,55,278,6,1929,11,33,47,90,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,21-359,1999,0.4,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,1,13,1,0,0,15,0,0,0,0,Matches
