,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1437,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,30-253,1990,7.1,315,42,175,135,10,7,311,0,0,,0,0,146,473,161,1,0,0,1,0,169,161,95.3,1,Matches
1438,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,eng Premier League,34-096,1987,2.3,88,1,9,42,41,7,86,3,6,50.0,3,0,46,121,33,3,0,0,7,9,130,62,47.7,15,Matches
1439,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21-038,2000,4.2,176,7,56,92,32,1,173,1,1,100.0,1,0,101,294,98,1,2,0,1,1,123,101,82.1,2,Matches
1440,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23-180,1997,13.2,609,28,147,328,157,21,572,3,7,42.9,4,0,331,1402,578,19,5,1,8,6,414,359,86.7,19,Matches
1441,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,eng Premier League,23-190,1997,26.5,1376,10,131,647,731,116,1251,76,119,63.9,80,9,1072,5940,3460,193,58,33,69,77,1282,944,73.6,164,Matches
1442,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-209,1990,34.0,1139,941,1113,28,0,0,848,1,1,100.0,1,0,514,2109,1148,1,0,0,1,0,517,516,99.8,0,Matches
1443,Rony Lopes\Rony-Lopes,pt POR,FWMF,Nice,fr Ligue 1,25-121,1995,16.9,862,12,96,402,439,59,773,30,52,57.7,32,3,641,3674,1949,116,33,14,41,33,787,617,78.4,103,Matches
1444,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,es La Liga,37-178,1983,10.6,682,36,242,290,186,5,560,8,16,50.0,10,1,364,1604,767,36,16,0,4,6,427,381,89.2,16,Matches
1445,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,33-110,1988,5.2,250,3,19,120,122,28,248,11,20,55.0,11,1,175,759,387,24,5,4,20,16,331,196,59.2,52,Matches
1446,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,es La Liga,19-117,2002,2.8,183,5,53,90,48,3,151,4,7,57.1,4,0,114,620,313,20,5,2,4,7,97,93,95.9,5,Matches
1447,Maxime Lopez\Maxime-Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,23-145,1997,1.5,68,1,15,38,20,3,67,1,1,100.0,1,0,41,249,147,9,2,1,4,0,78,55,70.5,5,Matches
1448,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,it Serie A,23-145,1997,17.8,1580,38,249,1007,431,20,1529,15,24,62.5,17,2,1179,5782,2657,116,42,3,14,11,1428,1331,93.2,48,Matches
1449,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-136,1994,20.2,715,630,709,7,0,0,579,0,0,,0,0,410,1540,682,0,0,0,1,0,386,385,99.7,0,Matches
1450,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,21-004,2000,4.9,258,4,25,128,118,11,234,3,5,60.0,3,0,163,599,265,16,2,1,6,7,220,176,80.0,28,Matches
1451,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,25-180,1995,12.7,939,19,161,598,232,11,884,13,17,76.5,14,2,609,3018,1272,51,23,3,10,15,729,672,92.2,24,Matches
1452,Dion Lopy\Dion-Lopy,sn SEN,MF,Reims,fr Ligue 1,19-085,2002,1.8,79,1,20,53,12,0,78,0,1,0.0,0,0,62,334,154,4,1,0,1,1,67,62,92.5,2,Matches
1453,Jordan Lotomba\Jordan-Lotomba,ch SUI,DF,Nice,fr Ligue 1,22-211,1998,22.9,1630,69,544,809,407,33,1382,27,49,55.1,28,1,1015,5429,3277,144,47,7,22,29,1164,1036,89.0,55,Matches
1454,Adrien Louveau\Adrien-Louveau,fr FRA,DFMF,Lens,fr Ligue 1,21-086,2000,0.1,5,1,3,2,0,0,5,0,0,,0,0,3,7,0,0,0,0,0,0,4,4,100.0,0,Matches
1455,Imran Louza\Imran-Louza,fr FRA,MF,Nantes,fr Ligue 1,21-362,1999,22.5,1348,34,266,781,382,25,1253,18,33,54.5,20,0,814,3861,1985,86,29,4,27,27,1062,875,82.4,74,Matches
1456,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,21-073,2000,15.2,786,89,394,409,34,5,751,3,5,60.0,3,0,424,2233,1330,33,9,0,6,3,408,395,96.8,6,Matches
1457,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23-352,1997,6.1,288,17,83,99,115,11,260,7,10,70.0,7,0,147,600,355,20,2,3,3,7,184,155,84.2,11,Matches
1458,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,de Bundesliga,24-090,1997,0.5,44,1,7,22,17,1,39,1,1,100.0,1,0,25,129,88,7,2,0,0,1,27,25,92.6,0,Matches
1459,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,31-323,1989,29.0,1571,120,494,774,390,19,1322,22,33,66.7,24,2,755,3695,2448,98,42,4,14,20,831,779,93.7,27,Matches
1460,Anthony Lozano\Anthony-Lozano,hn HON,FW,Cádiz,es La Liga,28-003,1993,14.0,417,8,21,214,212,61,407,19,30,63.3,21,0,254,1213,816,43,15,5,42,38,675,306,45.3,76,Matches
1461,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,25-272,1995,19.2,844,11,90,299,522,132,832,23,44,52.3,24,0,646,4763,3078,176,30,49,37,37,855,623,72.9,166,Matches
1462,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,de Bundesliga,22-037,1999,0.4,21,0,5,12,5,1,21,0,0,,0,0,7,8,2,0,0,0,2,2,32,16,50.0,2,Matches
1463,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,22-310,1998,1.9,157,3,25,100,44,3,156,8,12,66.7,9,0,131,702,318,13,6,2,4,2,130,122,93.8,7,Matches
1464,Jean Lucas\Jean-Lucas,br BRA,MF,Brest,fr Ligue 1,22-310,1998,9.9,677,12,149,439,146,11,655,16,24,66.7,16,1,520,2972,1364,59,21,3,19,13,557,501,89.9,18,Matches
1465,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23-296,1997,15.8,903,71,355,430,171,2,743,13,25,52.0,16,1,457,2139,1071,36,19,0,17,19,411,376,91.5,7,Matches
1466,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,es La Liga,26-020,1995,0.5,15,1,1,12,3,0,15,1,2,50.0,1,0,12,61,31,1,0,0,0,1,15,9,60.0,1,Matches
1467,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,de Bundesliga,21-054,2000,5.8,355,18,127,175,74,7,289,6,10,60.0,6,0,192,1008,576,19,8,1,5,6,214,190,88.8,13,Matches
1468,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,25-338,1995,28.5,1667,104,531,723,528,44,1436,31,43,72.1,32,2,973,5258,3187,144,41,3,28,16,1135,982,86.5,104,Matches
1469,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,33-279,1987,24.3,896,15,110,357,496,124,847,33,66,50.0,39,5,665,3439,2110,105,36,32,37,48,991,659,66.5,192,Matches
1470,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,31-113,1990,24.6,1638,159,744,867,96,18,1571,1,1,100.0,1,0,930,5467,2241,62,9,3,5,5,952,926,97.3,9,Matches
1471,Florentino Luís\Florentino-Luis,pt POR,MF,Monaco,fr Ligue 1,21-252,1999,2.7,191,5,45,114,36,1,188,2,3,66.7,2,0,117,393,195,7,1,0,1,2,145,138,95.2,2,Matches
1472,Luisinho\Luisinho,pt POR,DF,Huesca,es La Liga,35-358,1985,2.0,142,9,52,74,23,1,127,1,1,100.0,1,0,85,368,232,8,2,0,0,1,97,92,94.8,3,Matches
1473,Luismi\Luismi,es ESP,MFDF,Elche,es La Liga,28-358,1992,1.8,121,8,51,70,7,1,118,1,1,100.0,1,0,82,309,116,3,2,0,0,0,93,88,94.6,1,Matches
1474,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,34-006,1987,14.9,1061,150,569,528,62,17,1029,2,3,66.7,2,0,706,5072,3186,72,19,2,2,1,807,790,97.9,1,Matches
1475,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,22-354,1998,27.0,1471,90,408,861,303,19,1417,22,30,73.3,23,1,893,5192,2863,100,32,1,10,17,954,879,92.1,27,Matches
1476,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,27-350,1993,28.7,1066,30,55,465,615,217,1013,33,61,54.1,35,2,758,3612,2249,113,44,38,77,56,1435,863,60.1,364,Matches
1477,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,23-216,1997,19.8,750,11,103,359,352,77,733,39,64,60.9,43,1,569,2869,1554,71,26,20,40,46,846,552,65.2,132,Matches
1478,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,24-258,1996,20.3,911,19,144,515,336,38,890,21,37,56.8,23,1,652,4089,2200,96,46,7,20,28,837,634,75.7,72,Matches
1479,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,35-100,1986,4.6,267,10,74,122,88,8,238,6,10,60.0,6,0,156,959,567,21,9,2,7,2,184,158,85.9,8,Matches
1480,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,27-069,1994,22.5,1237,45,255,616,454,32,1173,16,25,64.0,18,1,817,4457,1775,73,33,2,20,21,981,867,88.4,54,Matches
1481,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,it Serie A,24-234,1996,20.9,1154,184,661,524,44,11,1104,5,6,83.3,5,0,699,3642,1992,41,8,0,7,2,770,753,97.8,2,Matches
1482,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-049,1987,27.8,1087,928,1086,2,0,0,818,0,0,,0,0,530,2347,1247,0,0,0,0,0,554,552,99.6,0,Matches
1483,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,24-086,1997,20.3,1396,243,792,645,55,16,1349,17,20,85.0,17,0,930,5180,2810,62,20,1,6,5,925,908,98.2,0,Matches
1484,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,27-188,1993,22.3,1269,111,452,564,329,21,1035,12,19,63.2,13,1,659,3003,1952,66,24,3,19,16,765,662,86.5,27,Matches
1485,Yann M'Vila\Yann-MVila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30-303,1990,0.2,15,0,7,8,1,0,15,0,0,,0,0,5,9,7,0,0,0,0,0,10,10,100.0,0,Matches
1486,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,22-125,1998,10.3,466,8,83,215,202,33,459,14,22,63.6,14,0,319,1566,760,35,12,2,18,14,409,311,76.0,57,Matches
1487,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,28-080,1993,18.7,692,18,106,299,363,55,650,42,71,59.2,45,7,489,3241,1860,109,32,23,30,41,664,441,66.4,82,Matches
1488,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,de Bundesliga,20-054,2001,0.1,3,0,0,2,2,1,3,0,0,,0,0,2,11,7,1,1,0,0,0,3,3,100.0,1,Matches
1489,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22-209,1998,6.0,397,29,174,184,69,3,318,13,15,86.7,13,1,204,1270,771,29,13,1,7,10,209,189,90.4,9,Matches
1490,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24-156,1996,19.9,1195,7,88,581,596,64,1056,23,45,51.1,25,0,806,4035,2070,125,34,14,38,37,1084,849,78.3,124,Matches
1491,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,de Bundesliga,19-101,2002,0.1,5,0,1,3,1,0,5,0,1,0.0,0,0,5,12,3,0,0,0,1,1,3,2,66.7,0,Matches
1492,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,es La Liga,23-290,1997,18.0,1073,54,337,517,286,22,891,19,39,48.7,24,0,611,3298,1912,87,28,8,17,14,652,570,87.4,53,Matches
1493,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,it Serie A,27-213,1993,20.2,1174,139,617,542,73,12,1108,4,6,66.7,6,1,691,3313,1719,37,7,0,10,7,704,685,97.3,4,Matches
1494,Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,it Serie A,39-076,1982,3.3,179,6,66,87,36,5,150,1,4,25.0,1,0,91,405,281,5,3,0,2,5,120,103,85.8,4,Matches
1495,Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,it Serie A,23-047,1998,20.7,973,33,179,532,323,68,953,14,31,45.2,18,1,583,2894,1662,90,28,9,29,21,764,636,83.2,92,Matches
1496,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,36-167,1984,4.9,466,35,118,311,48,0,457,1,2,50.0,1,0,303,1098,522,15,2,0,1,0,352,341,96.9,3,Matches
1497,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,it Serie A,25-206,1995,15.4,763,109,404,352,37,10,747,2,3,66.7,2,0,335,1477,674,20,3,1,8,0,359,343,95.5,3,Matches
1498,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,22-333,1998,4.0,253,9,69,172,29,0,249,4,6,66.7,5,0,182,993,606,19,3,0,5,2,178,166,93.3,4,Matches
1499,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28-054,1993,33.0,2452,359,1228,1222,205,50,2393,6,13,46.2,7,0,1517,10571,6360,198,57,3,6,10,1713,1670,97.5,10,Matches
1500,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,20-359,2000,0.7,24,0,6,14,4,0,24,0,0,,0,0,12,30,14,2,0,0,0,1,18,11,61.1,0,Matches
1501,Hicham Mahou\Hicham-Mahou,fr FRA,DF,Nice,fr Ligue 1,21-300,1999,0.4,25,0,7,8,11,0,23,0,0,,0,0,11,77,49,3,1,0,0,0,16,14,87.5,0,Matches
1502,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,30-066,1991,19.9,1257,5,56,445,846,151,1197,36,73,49.3,39,0,989,5231,2903,193,41,47,31,33,1219,1020,83.7,171,Matches
1503,Arne Maier\Arne-Maier,de GER,MFFW,Arminia,de Bundesliga,22-110,1999,8.5,390,13,90,221,112,11,366,6,7,85.7,6,0,238,1377,666,25,12,3,10,8,266,228,85.7,16,Matches
1504,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,22-110,1999,0.3,24,0,4,22,3,0,24,0,0,,0,0,21,161,92,2,2,0,2,0,26,22,84.6,0,Matches
1505,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,25-117,1996,25.9,1470,57,400,948,231,28,1445,24,36,66.7,26,3,975,4917,2592,104,35,3,24,38,1027,941,91.6,40,Matches
1506,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,25-151,1995,34.0,1020,884,1001,22,0,0,738,1,1,100.0,1,0,461,2246,1268,1,0,0,2,0,422,419,99.3,0,Matches
1507,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,23-242,1997,5.4,356,21,127,166,90,8,322,6,14,42.9,7,0,220,1126,615,18,5,3,6,8,240,213,88.8,12,Matches
1508,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,eng Premier League,23-242,1997,10.9,463,33,106,221,167,26,453,15,31,48.4,17,0,276,1363,687,32,13,4,14,31,354,269,76.0,36,Matches
1509,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,22-122,1998,8.9,280,10,30,161,99,30,271,6,11,54.5,7,0,195,754,298,15,3,6,19,14,367,207,56.4,69,Matches
1510,Josh Maja\Josh-Maja,ng NGA,FW,Fulham,eng Premier League,22-122,1998,7.2,203,2,19,102,93,32,198,11,12,91.7,11,0,148,442,141,7,4,0,19,14,316,151,47.8,39,Matches
1511,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,21-163,1999,1.0,39,30,39,0,0,0,27,0,0,,0,0,22,90,36,0,0,0,0,0,20,20,100.0,0,Matches
1512,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,29-221,1991,6.1,219,4,27,105,108,23,217,8,15,53.3,8,1,170,931,621,34,15,6,11,18,262,171,65.3,47,Matches
1513,Marco Majouga\Marco-Majouga,fr FRA,FWMF,Nîmes,fr Ligue 1,19-354,2001,1.2,46,0,4,20,29,6,46,2,3,66.7,3,0,37,276,199,11,4,2,2,2,59,36,61.0,7,Matches
1514,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MF,Udinese,it Serie A,22-320,1998,4.0,163,7,41,84,51,7,162,5,5,100.0,5,0,116,612,321,16,6,2,2,15,126,102,81.0,10,Matches
1515,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,26-092,1995,25.4,872,42,181,506,230,28,838,12,20,60.0,14,0,422,2355,1025,59,18,2,14,13,475,387,81.5,29,Matches
1516,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,29-154,1991,13.4,1080,169,603,515,27,12,1045,4,4,100.0,4,0,681,4233,2010,42,4,1,3,3,790,777,98.4,3,Matches
1517,Adilson Malanda\Adilson-Malanda,fr FRA,MF,Nîmes,fr Ligue 1,19-181,2001,0.2,10,0,1,6,3,0,9,0,1,0.0,0,0,4,7,0,0,0,0,1,1,10,8,80.0,2,Matches
1518,Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,es La Liga,28-161,1992,7.4,223,3,36,92,106,17,217,3,9,33.3,4,0,132,681,438,27,7,5,20,11,298,153,51.3,32,Matches
1519,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Fiorentina,it Serie A,29-271,1991,2.3,124,6,32,50,53,5,109,5,11,45.5,5,0,79,457,331,15,4,2,4,4,90,72,80.0,3,Matches
1520,Kévin Malcuit\Kevin-Malcuit,ma MAR,MFFW,Napoli,it Serie A,29-271,1991,0.4,31,1,5,23,4,0,30,1,2,50.0,1,0,23,146,112,5,0,0,3,0,23,22,95.7,1,Matches
1521,Daniel Maldini\Daniel-Maldini,it ITA,FWMF,Milan,it Serie A,19-199,2001,0.3,21,0,4,8,12,1,21,1,1,100.0,1,0,15,95,80,2,1,0,1,0,21,15,71.4,3,Matches
1522,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,Atalanta,it Serie A,27-359,1993,16.9,1158,8,96,509,641,75,1063,43,64,67.2,47,3,891,4875,2796,164,50,19,34,50,1041,876,84.1,167,Matches
1523,Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,de Bundesliga,29-063,1992,0.6,20,0,3,14,7,1,19,0,2,0.0,0,0,15,45,23,1,1,0,0,3,29,17,58.6,3,Matches
1524,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,29-310,1991,28.1,2054,97,636,1005,508,35,1722,17,32,53.1,18,2,1074,4513,2426,107,34,4,31,17,1318,1164,88.3,47,Matches
1525,Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,es La Liga,25-198,1995,22.8,1412,88,404,908,167,14,1399,18,26,69.2,18,0,994,4304,2231,82,18,2,13,26,1041,975,93.7,31,Matches
1526,Dennis Man\Dennis-Man,ro ROU,FWMF,Parma,it Serie A,22-245,1998,7.8,348,6,53,170,159,32,346,12,16,75.0,12,1,247,1603,872,42,16,5,17,14,338,259,76.6,56,Matches
1527,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,21-121,1999,5.0,257,10,84,167,35,2,254,7,9,77.8,7,0,202,1143,667,17,5,0,5,6,201,192,95.5,6,Matches
1528,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,31-292,1989,21.7,1490,60,467,762,330,6,1243,8,13,61.5,8,0,825,3356,1946,76,25,1,6,5,958,895,93.4,17,Matches
1529,Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Roma,it Serie A,25-011,1996,27.7,1971,185,783,1121,199,34,1907,11,14,78.6,12,0,1356,6976,4013,144,35,2,8,7,1481,1434,96.8,9,Matches
1530,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36-031,1985,33.0,1240,1118,1238,4,0,0,886,2,2,100.0,2,0,615,2729,1453,1,0,0,1,0,552,551,99.8,0,Matches
1531,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,27-097,1994,20.2,1543,61,428,793,417,14,1344,22,32,68.8,24,2,931,3958,2149,96,32,4,9,18,973,900,92.5,49,Matches
1532,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,29-188,1991,25.6,1649,205,874,812,38,23,1595,2,2,100.0,2,0,1092,4756,2210,45,3,0,7,1,1185,1167,98.5,5,Matches
1533,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,23-303,1997,4.4,219,9,60,109,61,8,215,3,3,100.0,3,0,133,582,351,13,2,2,3,8,185,143,77.3,15,Matches
1534,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Torino,it Serie A,23-303,1997,11.9,638,24,145,356,162,15,572,8,11,72.7,9,0,323,1275,649,21,10,1,9,4,379,336,88.7,16,Matches
1535,Mario Mandžukić\Mario-Mandzukic,hr CRO,FW,Milan,it Serie A,34-342,1986,2.1,67,4,10,32,28,6,65,0,0,,0,0,20,96,35,0,1,0,0,1,77,45,58.4,6,Matches
1536,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,29-018,1992,27.1,1356,14,91,520,864,238,1345,76,125,60.8,80,5,1025,5844,3330,192,61,47,84,72,1664,1080,64.9,349,Matches
1537,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,30-074,1991,3.5,139,25,80,58,6,3,136,1,1,100.0,1,0,51,299,164,4,1,0,1,1,66,56,84.8,2,Matches
1538,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,de Bundesliga,23-041,1998,23.4,1329,67,329,766,351,42,1316,62,85,72.9,64,5,979,5031,2500,104,42,7,28,57,1069,926,86.6,77,Matches
1539,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,33-364,1987,26.0,1936,64,427,1227,371,19,1769,11,18,61.1,11,0,1174,5121,2231,75,21,3,14,15,1332,1271,95.4,26,Matches
1540,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,33-057,1988,9.0,299,268,298,2,0,0,223,0,0,,0,0,162,580,260,0,0,0,0,0,162,161,99.4,0,Matches
1541,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,29-318,1991,20.5,1426,204,726,750,25,8,1377,2,2,100.0,2,0,954,4486,2254,36,4,0,1,0,1082,1061,98.1,1,Matches
1542,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26-358,1994,9.2,500,31,144,214,175,7,416,4,14,28.6,5,0,259,1314,731,26,9,0,12,7,301,257,85.4,15,Matches
1543,Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,it Serie A,24-138,1996,3.0,182,8,53,86,58,1,150,3,4,75.0,3,1,102,583,363,11,6,0,9,4,123,108,87.8,4,Matches
1544,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,22-073,1999,12.0,502,12,62,206,272,47,495,25,49,51.0,25,3,414,1908,1074,60,14,10,25,28,580,403,69.5,95,Matches
1545,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22-296,1998,10.7,802,31,211,424,234,10,697,15,28,53.6,16,0,485,2600,1698,92,30,2,17,9,565,522,92.4,17,Matches
1546,Sekou Mara\Sekou-Mara,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-272,2002,0.7,24,0,1,9,16,5,24,4,4,100.0,4,0,23,116,41,3,0,2,3,1,35,20,57.1,7,Matches
1547,Maranhão\Maranhao,br BRA,FW,Valladolid,es La Liga,24-190,1996,10.5,302,12,33,148,147,33,295,12,24,50.0,12,0,168,905,527,27,8,6,31,15,434,219,50.5,52,Matches
1548,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,eng Premier League,32-068,1989,6.8,430,26,149,208,97,3,367,7,9,77.8,8,1,243,1106,640,21,5,0,3,8,257,244,94.9,8,Matches
1549,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,32-068,1989,0.9,77,1,15,58,16,0,73,0,0,,0,0,57,551,374,14,2,0,0,0,55,54,98.2,0,Matches
1550,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,32-351,1988,10.0,832,21,166,399,301,29,744,15,21,71.4,18,0,558,2144,1243,64,18,5,7,8,653,609,93.3,53,Matches
1551,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,33-343,1987,29.3,2171,287,1015,1202,90,37,2120,2,3,66.7,2,0,1393,7940,4794,110,9,0,3,3,1564,1518,97.1,9,Matches
1552,Solly March\Solly-March,eng ENG,DF,Brighton,eng Premier League,26-282,1994,18.6,1197,49,274,468,548,59,1012,35,54,64.8,37,4,754,4959,2728,140,35,19,17,26,801,670,83.6,67,Matches
1553,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,38-080,1983,2.7,97,89,96,1,0,0,67,0,0,,0,0,40,103,40,0,0,0,0,0,46,46,100.0,0,Matches
1554,Riccardo Marchizza\Riccardo-Marchizza,it ITA,DF,Spezia,it Serie A,23-033,1998,14.3,950,40,334,421,262,27,803,9,16,56.3,9,1,598,3243,1571,61,24,4,15,14,644,589,91.5,29,Matches
1555,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,29-072,1992,29.0,2592,416,1233,1433,131,35,2502,4,10,40.0,4,1,1792,10797,6814,173,27,1,9,10,2002,1964,98.1,14,Matches
1556,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,es La Liga,30-329,1990,26.7,1595,118,582,1003,117,9,1542,15,19,78.9,17,0,1091,5335,2578,70,13,0,14,14,1138,1088,95.6,11,Matches
1557,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,es La Liga,32-014,1989,12.0,612,20,143,286,225,23,550,6,10,60.0,6,0,357,1921,1037,51,21,7,12,4,509,380,74.7,61,Matches
1558,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,21-211,1999,4.7,331,51,156,181,21,0,318,0,0,,0,0,191,1305,828,24,6,0,2,1,236,231,97.9,1,Matches
