,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
248,Sami Ben Amar\Sami-Ben-Amar,ma MAR,MF,Nîmes,fr Ligue 1,23-057,1998,0.1,6,0,0,3,3,0,6,0,0,,0,0,3,12,7,1,0,0,1,0,4,4,100.0,0,Matches
249,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Bordeaux,fr Ligue 1,34-052,1987,18.6,1104,1,79,633,508,58,976,82,117,70.1,82,3,881,5525,3227,176,49,26,44,73,1031,870,84.4,101,Matches
250,Salim Ben Seghir\Salim-Ben-Seghir,fr FRA,DF,Nice,fr Ligue 1,18-063,2003,0.1,9,0,1,5,3,0,9,1,1,100.0,1,0,8,33,18,2,0,0,1,0,7,7,100.0,2,Matches
251,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,30-259,1990,25.2,1042,3,57,491,567,160,967,36,59,61.0,39,1,696,3174,1869,109,35,27,55,57,1272,773,60.8,251,Matches
252,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,it Serie A,29-080,1992,9.3,667,31,185,371,150,25,624,10,14,71.4,10,0,449,2173,949,39,16,3,11,15,531,471,88.7,42,Matches
253,Samy Benchama\Samy-Benchama,fr FRA,MF,Montpellier,fr Ligue 1,20-307,2000,0.0,4,0,0,1,3,0,4,0,1,0.0,0,0,3,4,0,0,0,0,0,0,3,3,100.0,0,Matches
254,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,de Bundesliga,32-001,1989,10.4,822,41,220,494,164,12,725,7,12,58.3,8,0,493,2272,1107,44,24,0,9,6,536,517,96.5,19,Matches
255,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,32-001,1989,11.8,1073,101,569,557,19,11,1054,1,3,33.3,2,0,738,3757,1607,20,1,0,2,2,786,779,99.1,9,Matches
256,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30-346,1990,16.5,498,16,36,273,215,60,480,12,25,48.0,16,3,275,1087,379,27,9,8,40,28,735,371,50.5,116,Matches
257,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,de Bundesliga,23-231,1997,5.9,258,4,46,138,84,5,228,2,6,33.3,2,0,132,491,192,12,3,3,6,8,239,157,65.7,21,Matches
258,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,23-231,1997,1.7,130,5,28,79,32,2,109,0,1,0.0,0,0,67,274,130,6,4,0,1,1,89,78,87.6,7,Matches
259,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,28-040,1993,34.0,1162,1074,1159,3,0,0,840,0,0,,0,0,520,2081,1088,0,0,0,1,0,532,530,99.6,0,Matches
260,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29-111,1992,26.5,1876,101,674,1005,305,13,1605,5,9,55.6,7,2,1128,6295,3204,106,40,1,7,11,1229,1152,93.7,25,Matches
261,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,es La Liga,22-036,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
262,Bilal Benkhedim\Bilal-Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,20-008,2001,0.8,59,0,5,30,27,3,51,2,2,100.0,2,0,40,202,93,5,1,0,6,1,49,39,79.6,5,Matches
263,Djamel Benlamri\Djamel-Benlamri,dz ALG,DF,Lyon,fr Ligue 1,31-124,1989,1.7,107,11,58,54,1,0,104,0,0,,0,0,56,357,216,4,0,0,0,0,61,59,96.7,0,Matches
264,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,it Serie A,23-148,1997,11.5,899,28,228,597,142,2,878,25,29,86.2,26,0,689,3852,1838,68,23,0,8,15,680,650,95.6,14,Matches
265,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,eng Premier League,25-261,1995,12.5,584,12,91,271,282,46,574,41,69,59.4,45,6,490,2930,1689,94,27,12,29,37,570,408,71.6,69,Matches
