,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
176,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-058,1990,0.5,2,0,0,1,0,1.5,0.73,-0.5,-1.02,8,15,53.3,12,2,83.3,51.3,6,83.3,51.2,5,0,0.0,0,0.00,7.7,Matches
177,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-301,1990,31.0,47,4,1,7,2,40.8,0.28,-4.2,-0.13,255,633,40.3,1040,153,47.8,38.6,252,54.0,44.7,276,23,8.3,23,0.74,14.9,Matches
178,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,32-037,1989,4.0,5,0,0,0,0,3.3,0.28,-1.7,-0.41,16,35,45.7,103,17,29.1,30.4,15,33.3,29.9,32,1,3.1,3,0.75,14.8,Matches
179,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,25-220,1995,1.0,2,0,0,0,0,2.6,0.64,+0.6,+0.56,2,11,18.2,18,4,44.4,37.7,11,27.3,30.5,7,0,0.0,1,1.00,18.8,Matches
180,Guglielmo Vicario\Guglielmo-Vicario,it ITA,GK,Cagliari,it Serie A,24-210,1996,4.0,6,0,0,2,0,5.0,0.24,-1.0,-0.25,27,61,44.3,82,15,50.0,40.6,25,80.0,55.8,40,2,5.0,0,0.00,10.5,Matches
181,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23-300,1997,15.8,24,4,0,1,1,20.5,0.32,-2.5,-0.16,78,279,28.0,396,63,49.0,40.5,129,65.9,50.8,164,17,10.4,15,0.95,16.1,Matches
182,João Virgínia\Joao-Virginia,pt POR,GK,Everton,eng Premier League,21-207,1999,0.5,0,0,0,0,0,0.2,0.07,+0.2,+0.39,3,11,27.3,13,3,61.5,50.9,4,75.0,54.5,2,0,0.0,0,0.00,21.0,Matches
183,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,27-205,1993,9.0,12,1,0,0,0,11.1,0.36,-0.9,-0.10,78,181,43.1,187,25,71.1,48.7,58,82.8,60.0,67,5,7.5,5,0.56,14.6,Matches
184,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,32-250,1988,2.3,2,0,0,0,0,1.1,0.56,-0.9,-0.38,29,53,54.7,74,23,59.5,44.4,9,100.0,70.3,6,1,16.7,6,2.57,18.4,Matches
185,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,26-189,1994,30.0,45,5,1,4,1,39.4,0.27,-4.6,-0.15,157,471,33.3,806,194,42.1,39.0,236,55.9,47.2,279,28,10.0,19,0.63,14.0,Matches
186,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,32-082,1989,0.6,1,1,0,0,0,0.7,0.01,-0.3,-0.46,6,11,54.5,17,4,35.3,35.0,6,83.3,49.7,10,0,0.0,0,0.00,11.8,Matches
187,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,30-119,1991,5.7,11,2,0,2,0,10.4,0.34,-0.6,-0.11,50,103,48.5,240,38,39.2,36.8,26,34.6,35.2,43,4,9.3,6,1.05,15.2,Matches
