,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
364,Marco Brescianini\Marco-Brescianini,it ITA,MF,Milan,it Serie A,19,2000,0.3,0,0,0,1,0,0,0,1,2,0,0,0,2,1,0,100.0,Matches
365,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,0,2,0,10,14,2,3,30,15,0,1,0,181,31,24,56.4,Matches
366,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,16.9,1,0,0,8,24,9,2,4,5,0,0,0,68,26,67,28.0,Matches
367,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,21,1997,16.7,4,0,0,51,32,0,0,14,19,0,0,0,178,25,26,49.0,Matches
368,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,eng Premier League,17,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
369,Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9.0,0,0,0,4,5,0,0,6,7,0,0,0,49,12,10,54.5,Matches
370,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,eng Premier League,22,1997,5.6,1,0,0,4,6,0,14,1,3,0,0,0,26,0,6,0.0,Matches
371,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,4,0,0,25,10,2,2,21,19,0,0,0,321,69,30,69.7,Matches
372,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19.0,3,0,0,13,9,0,83,8,14,0,1,1,172,19,23,45.2,Matches
373,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,23,1995,8.9,2,0,0,6,9,0,2,5,8,0,0,0,104,20,15,57.1,Matches
374,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,26,1992,30.0,9,0,0,44,20,1,29,34,56,0,0,0,320,20,21,48.8,Matches
375,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,26,1992,16.2,5,0,0,27,19,0,2,20,36,0,0,0,163,10,5,66.7,Matches
376,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9.0,1,0,0,15,4,1,0,8,3,0,1,0,88,28,10,73.7,Matches
377,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,7.5,3,0,0,10,3,1,0,2,7,0,0,0,77,33,14,70.2,Matches
378,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Hoffenheim,de Bundesliga,20,1998,4.3,0,0,0,2,1,0,9,0,4,0,0,0,27,3,2,60.0,Matches
379,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Dortmund,de Bundesliga,20,1998,0.8,0,0,0,1,2,0,0,0,0,0,0,0,6,1,5,16.7,Matches
380,Bryan\Bryan,es ESP,MFFW,Leganés,es La Liga,18,2001,6.2,2,0,0,10,12,4,28,3,10,0,0,0,54,2,7,22.2,Matches
381,Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,18,2001,0.7,2,0,0,1,0,0,3,0,1,0,0,0,4,0,1,0.0,Matches
382,Lucas Buadés\Lucas-Buades,fr FRA,FW,Nîmes,fr Ligue 1,21,1997,1.3,0,0,0,3,4,1,0,2,2,0,0,0,6,1,1,50.0,Matches
383,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,30.7,12,0,0,67,60,16,7,3,21,1,0,0,109,141,161,46.7,Matches
384,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,eng Premier League,22,1996,27.4,6,1,0,36,54,2,43,25,58,0,0,0,233,23,54,29.9,Matches
385,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9.0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,,Matches
386,Marius Bülter\Marius-Bulter,de GER,MFFW,Union Berlin,de Bundesliga,26,1993,25.8,1,0,0,33,26,9,60,14,20,0,0,0,192,25,53,32.1,Matches
387,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,3,0,0,8,4,0,0,12,9,0,0,0,141,25,12,67.6,Matches
388,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,30,1989,13.7,3,0,0,21,18,17,9,5,6,0,0,0,65,29,82,26.1,Matches
389,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,25,1993,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0.0,Matches
390,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,de Bundesliga,19,2000,2.8,0,0,0,2,5,0,1,1,5,0,0,0,24,3,7,30.0,Matches
391,Oliver Burke\Oliver-Burke,sco SCO,MFFW,Alavés,es La Liga,22,1997,15.9,2,0,0,19,11,1,19,6,5,0,0,0,75,23,38,37.7,Matches
392,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,30.8,0,0,0,0,2,0,0,0,0,0,0,0,188,0,0,,Matches
393,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32.0,5,0,0,32,13,3,40,26,36,0,0,0,308,137,52,72.5,Matches
394,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,23,1996,15.9,6,1,1,18,9,0,23,20,23,0,0,0,153,12,21,36.4,Matches
395,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,27.6,9,0,0,46,51,0,0,36,63,0,1,0,351,40,34,54.1,Matches
396,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,8,0,0,50,57,3,35,39,47,0,1,0,351,68,52,56.7,Matches
397,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26.0,0,0,0,0,5,0,0,0,0,0,0,0,129,0,0,,Matches
398,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
399,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,4,0,0,16,8,1,3,20,23,0,0,0,152,42,30,58.3,Matches
400,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,3.0,0,0,0,7,1,0,3,2,2,0,0,0,38,12,2,85.7,Matches
401,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,24,1995,9.0,4,0,0,7,7,0,0,11,10,0,0,0,85,20,17,54.1,Matches
402,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5.0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,,Matches
403,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Saint-Étienne,fr Ligue 1,33,1986,9.5,3,0,0,21,12,0,8,17,26,0,0,0,113,10,7,58.8,Matches
404,Manuel Cabit\Manuel-Cabit,mq MTQ,DF,Metz,fr Ligue 1,26,1993,3.0,2,0,0,6,9,0,9,6,3,0,1,0,27,0,2,0.0,Matches
405,Ariday Cabrera\Ariday-Cabrera,es ESP,MFFW,Mallorca,es La Liga,30,1988,0.4,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,,Matches
406,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,17.0,3,0,0,16,9,1,14,11,2,0,0,0,199,58,33,63.7,Matches
407,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Espanyol,es La Liga,28,1991,17.0,2,0,0,10,7,1,21,13,17,0,0,0,191,46,20,69.7,Matches
408,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,32,1986,12.8,1,1,0,8,8,1,27,7,5,0,0,0,90,13,10,56.5,Matches
409,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,32,1987,26.2,10,1,1,22,16,0,10,16,36,0,1,0,193,32,22,59.3,Matches
410,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,22,1997,7.7,0,0,0,11,4,0,20,15,23,0,0,0,63,7,7,50.0,Matches
411,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FWMF,Dijon,fr Ligue 1,24,1995,8.9,3,0,0,14,21,5,11,0,10,0,0,0,29,42,46,47.7,Matches
412,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,22,1997,10.3,3,1,1,17,21,1,40,3,9,1,0,0,66,6,13,31.6,Matches
413,Jonathan Cafu\Jonathan-Cafu,br BRA,DF,Bordeaux,fr Ligue 1,28,1991,2.2,0,0,0,5,7,1,1,1,4,0,0,0,13,0,6,0.0,Matches
414,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,33,1985,24.1,1,0,0,14,12,0,0,13,12,0,0,0,219,78,45,63.4,Matches
415,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,30,1988,15.6,7,0,0,27,20,8,2,4,24,3,0,0,52,24,54,30.8,Matches
416,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Amiens,fr Ligue 1,23,1996,20.9,5,0,0,28,30,0,24,27,42,0,0,0,198,32,36,47.1,Matches
417,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,22,1996,18.0,4,2,1,15,23,1,29,15,20,0,0,0,164,15,12,55.6,Matches
418,Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,it Serie A,17,2002,0.7,0,0,0,1,1,0,1,0,0,1,0,0,2,0,0,,Matches
419,Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,it Serie A,25,1994,10.7,1,0,0,20,7,1,1,14,14,0,0,0,124,33,19,63.5,Matches
420,Marco Calderoni\Marco-Calderoni,it ITA,DF,Lecce,it Serie A,30,1989,22.9,7,0,0,29,37,2,75,28,30,0,1,0,144,12,16,42.9,Matches
421,Fernando Calero\Fernando-Calero,es ESP,DF,Espanyol,es La Liga,23,1995,11.6,4,1,0,7,6,0,1,4,8,0,0,0,118,15,18,45.5,Matches
422,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,22,1996,21.0,6,0,0,23,12,0,3,15,19,0,1,0,170,58,21,73.4,Matches
423,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,25,1994,30.0,6,0,0,38,27,1,61,28,34,0,1,0,200,20,45,30.8,Matches
424,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFFW,Schalke 04,de Bundesliga,31,1988,25.5,5,0,0,25,41,1,48,21,31,0,0,0,250,46,43,51.7,Matches
425,José Callejón\Jose-Callejon,es ESP,FWMF,Napoli,it Serie A,32,1987,24.1,2,0,0,12,43,10,99,3,7,0,1,0,142,10,17,37.0,Matches
426,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Espanyol,es La Liga,25,1993,20.1,6,1,1,47,51,7,22,7,9,0,0,0,73,112,118,48.7,Matches
427,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,22,1997,29.2,9,0,0,57,44,13,19,7,11,0,0,0,102,170,196,46.4,Matches
428,Mahdi Camara\Mahdi-Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,21,1998,10.0,2,1,1,16,14,0,4,13,24,0,0,0,88,17,9,65.4,Matches
429,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,36,1982,1.8,0,0,0,4,3,4,2,0,0,0,0,0,6,10,17,37.0,Matches
430,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,eng Premier League,25,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
431,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Alavés,es La Liga,25,1994,14.4,1,0,0,14,15,2,13,10,14,0,0,0,114,12,15,44.4,Matches
432,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,23.4,4,0,0,48,57,0,1,24,58,0,0,0,234,34,31,52.3,Matches
433,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,18,2001,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,100.0,Matches
434,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,26,1993,35.1,4,1,1,28,59,2,53,26,25,0,1,0,344,33,38,46.5,Matches
435,Xisco Campos\Xisco-Campos,es ESP,DF,Mallorca,es La Liga,37,1982,5.3,2,0,0,8,3,1,1,9,5,0,0,0,46,17,11,60.7,Matches
436,Víctor Campuzano\Victor-Campuzano,es ESP,FW,Espanyol,es La Liga,22,1997,9.7,2,0,0,24,17,14,5,1,13,0,0,0,46,11,35,23.9,Matches
437,Emre Can\Emre-Can,de GER,MFDF,Dortmund,de Bundesliga,25,1994,10.6,5,0,0,14,16,0,4,9,18,0,1,0,119,14,6,70.0,Matches
438,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,25,1994,3.2,2,0,0,10,5,0,4,3,4,0,0,0,23,2,0,100.0,Matches
439,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,28,1991,35.1,5,0,0,27,47,2,76,8,25,0,1,0,233,6,33,15.4,Matches
440,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,eng Premier League,25,1994,13.4,4,0,0,17,8,0,36,16,26,0,0,0,152,22,20,52.4,Matches
441,Antonio Candreva\Antonio-Candreva,it ITA,DF,Inter,it Serie A,32,1987,22.1,5,0,0,15,20,13,119,14,13,1,0,0,147,3,9,25.0,Matches
442,Gianmarco Cangiano\Gianmarco-Cangiano,it ITA,FWMF,Bologna,it Serie A,17,2001,0.2,0,0,0,1,1,0,1,1,1,0,0,0,4,0,2,0.0,Matches
443,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,eng Premier League,21,1998,27.7,6,0,0,33,66,3,16,12,29,0,1,0,179,16,42,27.6,Matches
444,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,27,1992,31.9,10,0,0,46,15,6,61,20,32,0,0,0,301,43,19,69.4,Matches
445,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,32,1987,19.4,7,0,0,27,13,2,25,17,35,0,1,0,147,38,31,55.1,Matches
446,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,eng Premier League,31,1988,29.2,8,0,0,58,39,0,14,43,55,0,1,0,402,46,13,78.0,Matches
447,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Sampdoria,it Serie A,26,1993,7.4,4,1,1,10,13,2,10,5,8,0,0,0,37,1,20,4.8,Matches
448,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Parma,it Serie A,26,1993,6.5,1,0,0,6,16,2,5,4,4,0,0,0,40,2,9,18.2,Matches
449,Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,31,1987,32.6,3,0,0,24,47,23,13,1,5,0,0,0,92,16,39,29.1,Matches
450,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,19,2000,6.3,2,0,0,15,12,0,2,7,11,0,0,0,63,4,8,33.3,Matches
451,Andrea Carboni\Andrea-Carboni,it ITA,DFMF,Cagliari,it Serie A,18,2001,4.1,5,2,1,7,2,0,0,5,2,0,0,0,27,8,3,72.7,Matches
452,Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,21,1997,16.1,3,0,0,25,14,3,30,3,11,1,0,0,89,21,17,55.3,Matches
453,Marc Cardona\Marc-Cardona,es ESP,FW,Osasuna,es La Liga,24,1995,7.8,1,0,0,8,9,8,11,0,2,0,0,0,30,9,38,19.1,Matches
454,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,26,1993,34.8,7,0,0,46,11,2,6,18,34,0,1,1,306,91,42,68.4,Matches
455,Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,28,1991,14.1,3,0,0,11,20,2,43,13,8,1,1,0,116,20,8,71.4,Matches
456,Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,25,1993,7.0,2,0,0,8,13,2,8,5,7,2,0,0,60,2,10,16.7,Matches
457,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,es La Liga,30,1988,9.4,3,0,0,8,2,0,0,3,9,0,0,0,78,15,18,45.5,Matches
458,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,es La Liga,28,1991,13.5,2,0,0,29,25,4,6,3,10,0,0,0,75,121,83,59.3,Matches
459,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,30,1989,7.0,1,0,0,17,15,6,6,3,1,0,0,0,43,78,61,56.1,Matches
460,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,27,1992,30.4,11,0,0,42,30,3,93,39,53,1,0,0,329,27,32,45.8,Matches
461,Matis Carvalho\Matis-Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
462,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,27,1992,9.9,6,1,0,17,8,0,1,2,7,0,0,0,84,17,11,60.7,Matches
463,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,27,1992,34.3,12,0,0,87,65,3,21,37,75,0,0,0,490,92,52,63.9,Matches
464,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,21,1998,6.6,3,0,0,6,11,0,3,4,15,0,0,0,73,4,3,57.1,Matches
465,Francesco Cassata\Francesco-Cassata,it ITA,MF,Genoa,it Serie A,22,1997,16.2,11,2,1,46,26,1,16,10,13,1,0,0,137,10,23,30.3,Matches
466,Timothy Castagne\Timothy-Castagne,be BEL,DF,Atalanta,it Serie A,23,1995,19.7,4,0,0,18,8,5,52,12,23,1,0,0,159,33,24,57.9,Matches
467,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26.0,1,0,0,0,3,0,0,0,0,0,0,0,149,0,0,,Matches
468,Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Brest,fr Ligue 1,24,1995,20.4,3,1,0,27,11,1,2,16,12,0,0,0,189,60,38,61.2,Matches
469,Samu Castillejo\Samu-Castillejo,es ESP,FWMF,Milan,it Serie A,24,1995,13.4,3,1,0,14,20,7,46,18,18,0,0,0,99,17,34,33.3,Matches
470,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,25,1994,32.1,4,0,0,34,29,2,43,36,61,0,0,0,237,37,54,40.7,Matches
471,Lucas Castro\Lucas-Castro,ar ARG,MF,SPAL,it Serie A,30,1989,4.7,0,0,0,8,4,0,5,1,6,0,0,0,26,5,2,71.4,Matches
472,Lucas Castro\Lucas-Castro,ar ARG,MF,Cagliari,it Serie A,30,1989,6.7,2,0,0,15,6,1,19,4,8,0,0,0,60,5,6,45.5,Matches
473,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,22,1997,29.7,10,0,0,64,78,0,31,25,46,1,2,0,252,21,41,33.9,Matches
474,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,24,1994,6.6,3,0,0,5,2,0,11,5,14,0,0,0,80,5,2,71.4,Matches
475,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,eng Premier League,30,1989,27.6,7,0,0,13,2,0,3,16,26,0,0,0,260,75,45,62.5,Matches
476,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,fr Ligue 1,32,1987,6.7,2,0,0,8,2,3,4,0,4,0,0,0,24,4,6,40.0,Matches
477,Santi Cazorla\Santi-Cazorla,es ESP,MF,Villarreal,es La Liga,34,1984,27.2,3,0,0,28,37,3,53,13,28,0,0,0,192,11,21,34.4,Matches
478,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,22,1996,18.8,1,0,0,19,35,0,22,20,28,0,0,0,190,11,22,33.3,Matches
479,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,27,1992,9.3,3,0,0,9,14,0,0,10,10,0,1,0,96,27,11,71.1,Matches
480,Christian Celesia\Christian-Celesia,it ITA,DF,Torino,it Serie A,17,2002,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
481,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,22,1997,23.0,4,0,0,38,11,4,47,15,34,1,0,1,232,24,36,40.0,Matches
482,Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,23,1996,28.0,3,0,0,19,36,2,59,45,53,0,0,0,259,37,26,58.7,Matches
483,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,29,1989,13.8,5,0,0,8,9,0,2,17,12,0,0,1,112,33,29,53.2,Matches
484,Alberto Cerri\Alberto-Cerri,it ITA,FW,SPAL,it Serie A,23,1996,4.7,1,0,0,8,6,2,2,1,1,0,0,0,9,19,11,63.3,Matches
485,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,23,1996,2.7,1,0,0,4,4,2,0,0,3,0,1,0,11,22,16,57.9,Matches
486,Julian Chabot\Julian-Chabot,de GER,DF,Sampdoria,it Serie A,21,1998,6.3,1,1,0,10,6,0,0,14,10,0,0,0,51,21,10,67.7,Matches
487,Florian Chabrolle\Florian-Chabrolle,fr FRA,MF,Marseille,fr Ligue 1,21,1998,0.2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,,Matches
488,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,32,1986,17.0,1,0,0,18,20,0,38,30,23,0,1,0,158,11,12,47.8,Matches
489,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,25,1993,2.0,1,0,0,3,1,0,0,1,0,0,1,0,22,2,2,50.0,Matches
490,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,eng Premier League,24,1994,10.3,1,0,0,7,8,0,4,9,19,0,0,0,115,17,14,54.8,Matches
491,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,24,1995,12.2,5,0,0,18,4,0,27,13,18,0,1,0,123,37,27,57.8,Matches
492,Jhon Chancellor\Jhon-Chancellor,ve VEN,DF,Brescia,it Serie A,27,1992,24.9,3,0,0,21,7,3,1,14,19,0,0,1,189,69,39,63.9,Matches
493,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,de Bundesliga,29,1990,13.6,4,0,0,16,11,4,47,6,10,0,0,0,87,42,30,58.3,Matches
494,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,25,1994,7.5,0,0,0,4,21,3,16,7,6,1,0,0,68,16,23,41.0,Matches
495,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,FWMF,Brest,fr Ligue 1,30,1988,22.9,5,0,0,40,34,9,33,5,22,1,0,0,107,50,81,38.2,Matches
496,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24,1994,9.1,4,0,0,6,4,0,0,8,8,0,2,0,80,31,21,59.6,Matches
497,Charles\Charles,br BRA,FW,Eibar,es La Liga,35,1984,14.5,8,0,0,41,21,7,3,3,6,1,0,0,67,51,89,36.4,Matches
498,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28,1991,23.9,6,0,0,39,9,4,37,29,52,0,0,0,205,15,18,45.5,Matches
499,Pablo Chavarría\Pablo-Chavarria,ar ARG,FWMF,Mallorca,es La Liga,31,1988,2.3,1,0,0,14,4,7,5,0,1,0,0,0,9,18,11,62.1,Matches
500,Aurélien Chedjou\Aurelien-Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34,1985,21.9,4,1,1,14,12,0,0,27,27,0,1,0,255,45,23,66.2,Matches
501,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Celta Vigo,es La Liga,21,1997,6.7,5,1,1,24,17,0,1,2,6,0,0,0,61,3,8,27.3,Matches
502,Chema\Chema,es ESP,DF,Getafe,es La Liga,27,1992,3.4,4,0,0,7,1,1,0,2,2,0,0,0,57,14,14,50.0,Matches
503,Rayan Cherki\Rayan-Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,15,2003,1.6,0,0,0,1,6,0,3,1,2,0,0,0,13,0,2,0.0,Matches
504,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,es La Liga,28,1990,10.3,5,0,0,23,13,2,40,8,7,1,1,0,74,10,15,40.0,Matches
505,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,2.2,0,0,0,4,2,0,0,1,2,0,0,0,18,4,2,66.7,Matches
506,Federico Chiesa\Federico-Chiesa,it ITA,FWDF,Fiorentina,it Serie A,21,1997,29.3,7,0,0,54,46,7,54,5,30,2,0,0,175,6,30,16.7,Matches
507,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,26.4,3,0,0,28,30,1,78,20,26,0,0,0,240,62,22,73.8,Matches
508,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,29,1989,7.9,0,0,0,8,3,1,1,7,12,0,0,0,75,13,13,50.0,Matches
509,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,eng Premier League,19,1999,0.4,0,0,0,2,1,0,0,1,0,0,0,0,2,0,2,0.0,Matches
510,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,13.9,5,1,1,27,22,1,8,16,21,0,0,0,164,19,16,54.3,Matches
511,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,9.9,4,1,1,12,7,0,4,18,13,0,0,0,104,11,8,57.9,Matches
512,Mounir Chouiar\Mounir-Chouiar,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,16.7,4,1,0,34,20,4,32,11,27,0,0,0,124,12,12,50.0,Matches
513,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,19.5,5,0,0,17,10,0,0,15,20,0,0,0,173,68,40,63.0,Matches
514,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,20,1999,22.8,2,0,0,16,50,12,45,9,15,2,0,0,150,11,30,26.8,Matches
515,Darko Churlinov\Darko-Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,0.2,0,0,0,1,0,1,1,0,0,0,0,0,3,0,1,0.0,Matches
516,Churripi\Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,2.7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
517,Luca Cigarini\Luca-Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,17.8,8,1,1,36,28,0,19,19,26,0,0,0,195,10,13,43.5,Matches
518,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,18.1,4,0,0,22,9,0,4,22,31,0,0,0,173,19,17,52.8,Matches
